Packet_Number,Timestamp,Data
1,2026-02-10 20:22:00,[-158.24175824175825|-235.16483516483515|304.02930402930406|-594.8717948717949|19.047619047619047]
2,2026-02-10 20:22:00,[-147.25274725274724|-220.51282051282053|289.3772893772894|-517.2161172161173|2.93040293040293]
3,2026-02-10 20:22:00,[-136.996336996337|-424.1758241758242|241.02564102564102|-457.87545787545787|-19.78021978021978]
4,2026-02-10 20:22:00,[-122.34432234432235|-212.45421245421247|210.98901098901098|-449.0842490842491|-54.94505494505494]
5,2026-02-10 20:22:00,[-100.36630036630036|-202.93040293040292|139.9267399267399|-324.54212454212455|-98.9010989010989]
6,2026-02-10 20:22:00,[-78.3882783882784|-181.6849816849817|79.85347985347985|-239.56043956043956|-132.6007326007326]
7,2026-02-10 20:22:00,[-54.21245421245421|116.48351648351648|-1500.3663003663003|-488.64468864468864|-12.454212454212454]
8,2026-02-10 20:22:00,[-15.384615384615385|-167.76556776556777|-19.047619047619047|-119.41391941391942|-190.47619047619048]
9,2026-02-10 20:22:00,[-27.106227106227106|-153.84615384615384|-66.66666666666667|-88.64468864468864|-191.2087912087912]
10,2026-02-10 20:22:00,[-9.523809523809524|-143.5897435897436|-85.71428571428571|-97.43589743589743|-221.24542124542126]
11,2026-02-10 20:22:00,[-17.582417582417584|-144.32234432234432|-115.01831501831502|1499.6336996336997|1499.6336996336997]
12,2026-02-10 20:22:00,[1499.6336996336997|-59.34065934065934|-254.94505494505495|-24.175824175824175|-205.86080586080587]
13,2026-02-10 20:22:00,[-16.84981684981685|-126.00732600732601|-140.65934065934067|-40.29304029304029|-230.03663003663004]
14,2026-02-10 20:22:00,[-14.652014652014651|-127.47252747252747|-167.03296703296704|16.84981684981685|-249.08424908424908]
15,2026-02-10 20:22:00,[10.989010989010989|-110.62271062271063|-169.23076923076923|19.78021978021978|-1278.3882783882784]
16,2026-02-10 20:22:00,[-295.97069597069594|-9.523809523809524|-152.38095238095238|-19.78021978021978|-241.02564102564102]
17,2026-02-10 20:22:00,[3.663003663003663|-112.08791208791209|-170.6959706959707|27.83882783882784|-253.4798534798535]
18,2026-02-10 20:22:00,[-17.582417582417584|-112.08791208791209|-183.15018315018315|30.036630036630036|-230.76923076923077]
19,2026-02-10 20:22:00,[5.86080586080586|-107.6923076923077|-170.6959706959707|-25.641025641025642|-239.56043956043956]
20,2026-02-10 20:22:00,[806.5934065934066|-6.593406593406593|-238.0952380952381|19.78021978021978|-213.1868131868132]
21,2026-02-10 20:22:00,[-13.91941391941392|-115.01831501831502|-177.28937728937728|6.593406593406593|-229.3040293040293]
22,2026-02-10 20:22:00,[-21.245421245421245|-109.15750915750915|-160.43956043956044|-18.315018315018314|-218.3150183150183]
23,2026-02-10 20:22:01,[-20.512820512820515|-122.34432234432235|-170.6959706959707|10.989010989010989|-230.03663003663004]
24,2026-02-10 20:22:01,[-7.326007326007326|233.6996336996337|-178.02197802197801|-6.593406593406593|-229.3040293040293]
25,2026-02-10 20:22:01,[-21.245421245421245|-120.87912087912088|-172.16117216117217|-26.373626373626372|-224.9084249084249]
26,2026-02-10 20:22:01,[-13.186813186813186|-107.6923076923077|-164.83516483516485|13.91941391941392|-239.56043956043956]
27,2026-02-10 20:22:01,[-11.72161172161172|-113.55311355311355|-171.42857142857142|13.91941391941392|-220.51282051282053]
28,2026-02-10 20:22:01,[-19.78021978021978|-828.5714285714286|-156.04395604395606|50.54945054945055|-63.00366300366301]
29,2026-02-10 20:22:01,[-107.6923076923077|-103.2967032967033|-101.0989010989011|-101.83150183150182|-99.63369963369964]
30,2026-02-10 20:22:01,[-85.71428571428571|-79.85347985347985|-86.44688644688645|-89.37728937728937|-94.50549450549451]
31,2026-02-10 20:22:01,[-96.7032967032967|-100.36630036630036|-98.9010989010989|-136.996336996337|-106.22710622710623]
32,2026-02-10 20:22:01,[-102.56410256410257|-106.22710622710623|-147.25274725274724|-438.82783882783883|-878.3882783882784]
33,2026-02-10 20:22:01,[-1136.996336996337|-1419.7802197802198|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
34,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
35,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
36,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
37,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
38,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
39,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
40,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
41,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
42,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003]
43,2026-02-10 20:22:01,[-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|-1500.3663003663003|550.1831501831501]
44,2026-02-10 20:22:01,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
45,2026-02-10 20:22:01,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
46,2026-02-10 20:22:01,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1458.6080586080586|1499.6336996336997]
47,2026-02-10 20:22:01,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
48,2026-02-10 20:22:01,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
49,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1452.7472527472528|1499.6336996336997]
50,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
51,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
52,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1449.084249084249|1499.6336996336997]
53,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
54,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
55,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1452.7472527472528|1499.6336996336997]
56,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
57,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997|1499.6336996336997]
58,2026-02-10 20:22:02,[1499.6336996336997|1499.6336996336997|1167.032967032967|1452.7472527472528|1063.003663003663]
59,2026-02-10 20:22:02,[1074.7252747252746|1040.2930402930403|865.934065934066|810.2564102564103|813.919413919414]
60,2026-02-10 20:22:02,[895.9706959706959|697.4358974358975|687.9120879120879|653.4798534798534|687.9120879120879]
61,2026-02-10 20:22:02,[678.3882783882784|583.8827838827839|588.2783882783883|602.9304029304029|463.003663003663]
62,2026-02-10 20:22:02,[421.24542124542126|350.9157509157509|454.94505494505495|449.0842490842491|263.003663003663]
63,2026-02-10 20:22:02,[353.84615384615387|264.46886446886447|302.56410256410254|260.8058608058608|135.53113553113553]
64,2026-02-10 20:22:02,[107.6923076923077|109.15750915750915|-40.29304029304029|12.454212454212454|-38.827838827838825]
65,2026-02-10 20:22:02,[21.245421245421245|-58.608058608058606|-85.71428571428571|-38.095238095238095|-135.53113553113553]
66,2026-02-10 20:22:02,[42.49084249084249|-73.26007326007326|-65.93406593406593|15.384615384615385|-73.99267399267399]
67,2026-02-10 20:22:02,[43.223443223443226|13.186813186813186|-27.106227106227106|-122.34432234432235|-202.1978021978022]
68,2026-02-10 20:22:02,[-229.3040293040293|-227.83882783882783|-268.86446886446885|-241.75824175824175|-343.5897435897436]
69,2026-02-10 20:22:02,[-365.56776556776555|-394.13919413919416|-428.57142857142856|-416.8498168498169|-550.1831501831501]
70,2026-02-10 20:22:02,[-509.15750915750914|-400.73260073260076|-521.6117216117216|-464.46886446886447|-532.6007326007326]
71,2026-02-10 20:22:02,[-449.0842490842491|-525.2747252747253|-570.6959706959707|-471.06227106227107|-501.83150183150184]
72,2026-02-10 20:22:02,[-555.3113553113553|-679.8534798534798|-194.13919413919413|123.80952380952381|268.86446886446885]
73,2026-02-10 20:22:03,[87.17948717948718|-605.8608058608058|-765.5677655677656|-640.2930402930403|-707.6923076923077]
74,2026-02-10 20:22:03,[-684.2490842490843|-630.7692307692307|-660.8058608058608|-544.3223443223443|-707.6923076923077]
75,2026-02-10 20:22:03,[-590.4761904761905|-632.967032967033|-627.1062271062272|-553.1135531135532|-636.6300366300367]
76,2026-02-10 20:22:03,[-495.23809523809524|-572.1611721611722|-615.3846153846154|-476.9230769230769|-556.0439560439561]
77,2026-02-10 20:22:03,[-575.0915750915751|-523.8095238095239|-484.24908424908426|-361.17216117216117|-580.952380952381]
78,2026-02-10 20:22:03,[-517.2161172161173|-430.03663003663|-498.9010989010989|-542.8571428571429|-517.9487179487179]
79,2026-02-10 20:22:03,[-570.6959706959707|-580.2197802197802|-647.6190476190476|-569.2307692307693|-680.5860805860806]
80,2026-02-10 20:22:03,[-638.0952380952381|-715.018315018315|-651.2820512820513|-596.3369963369963|-595.6043956043956]
81,2026-02-10 20:22:03,[-524.5421245421245|-543.5897435897435|-651.2820512820513|-589.7435897435897|-539.92673992674]
82,2026-02-10 20:22:03,[-462.27106227106225|-423.4432234432234|-525.2747252747253|-509.15750915750914|-443.2234432234432]
83,2026-02-10 20:22:03,[-405.86080586080584|-535.5311355311355|-477.65567765567766|-391.2087912087912|-519.4139194139194]
84,2026-02-10 20:22:03,[-426.3736263736264|-395.6043956043956|-435.16483516483515|-495.97069597069594|-504.76190476190476]
85,2026-02-10 20:22:03,[-355.3113553113553|-424.1758241758242|-522.3443223443223|-352.3809523809524|-320.1465201465202]
86,2026-02-10 20:22:03,[-436.6300366300366|-521.6117216117216|-384.61538461538464|-367.76556776556777|-417.5824175824176]
87,2026-02-10 20:22:03,[-369.96336996337|-516.4835164835165|-455.67765567765565|-369.96336996337|-328.93772893772893]
88,2026-02-10 20:22:03,[63.00366300366301|395.6043956043956|380.2197802197802|-181.6849816849817|-618.3150183150183]
89,2026-02-10 20:22:03,[-545.054945054945|-471.06227106227107|-381.68498168498166|-302.56410256410254|-364.1025641025641]
