Packet_Number,Timestamp,Data
1,2026-02-10 20:22:00,[112314|0]
2,2026-02-10 20:22:00,[112308|0]
3,2026-02-10 20:22:00,[112359|0]
4,2026-02-10 20:22:00,[112335|0]
5,2026-02-10 20:22:00,[112297|0]
6,2026-02-10 20:22:00,[112325|0]
7,2026-02-10 20:22:00,[112295|0]
8,2026-02-10 20:22:00,[112307|0]
9,2026-02-10 20:22:00,[112488|0]
10,2026-02-10 20:22:00,[112631|0]
11,2026-02-10 20:22:00,[112524|0]
12,2026-02-10 20:22:00,[112593|0]
13,2026-02-10 20:22:00,[112532|0]
14,2026-02-10 20:22:00,[112556|0]
15,2026-02-10 20:22:00,[112707|0]
16,2026-02-10 20:22:00,[112769|0]
17,2026-02-10 20:22:00,[112767|0]
18,2026-02-10 20:22:00,[112805|0]
19,2026-02-10 20:22:00,[112874|0]
20,2026-02-10 20:22:00,[112805|0]
21,2026-02-10 20:22:00,[112729|0]
22,2026-02-10 20:22:00,[112735|0]
23,2026-02-10 20:22:01,[112754|0]
24,2026-02-10 20:22:01,[112819|0]
25,2026-02-10 20:22:01,[112824|0]
26,2026-02-10 20:22:01,[112912|0]
27,2026-02-10 20:22:01,[112975|0]
28,2026-02-10 20:22:01,[112974|0]
29,2026-02-10 20:22:01,[112907|0]
30,2026-02-10 20:22:01,[112870|0]
31,2026-02-10 20:22:01,[113000|0]
32,2026-02-10 20:22:01,[113383|0]
33,2026-02-10 20:22:01,[113482|0]
34,2026-02-10 20:22:01,[113151|0]
35,2026-02-10 20:22:01,[112917|0]
36,2026-02-10 20:22:01,[112790|0]
37,2026-02-10 20:22:01,[112850|0]
38,2026-02-10 20:22:01,[113032|0]
39,2026-02-10 20:22:01,[113176|0]
40,2026-02-10 20:22:01,[113147|0]
41,2026-02-10 20:22:01,[113004|0]
42,2026-02-10 20:22:01,[112968|0]
43,2026-02-10 20:22:01,[113016|0]
44,2026-02-10 20:22:01,[113120|0]
45,2026-02-10 20:22:01,[113265|0]
46,2026-02-10 20:22:01,[113345|0]
47,2026-02-10 20:22:01,[113426|0]
48,2026-02-10 20:22:01,[113458|0]
49,2026-02-10 20:22:02,[113439|0]
50,2026-02-10 20:22:02,[113454|0]
51,2026-02-10 20:22:02,[113476|0]
52,2026-02-10 20:22:02,[113475|0]
53,2026-02-10 20:22:02,[113485|0]
54,2026-02-10 20:22:02,[113520|0]
55,2026-02-10 20:22:02,[113521|0]
56,2026-02-10 20:22:02,[113476|0]
57,2026-02-10 20:22:02,[113483|0]
58,2026-02-10 20:22:02,[113450|0]
59,2026-02-10 20:22:02,[113446|0]
60,2026-02-10 20:22:02,[113452|0]
61,2026-02-10 20:22:02,[113438|0]
62,2026-02-10 20:22:02,[113418|0]
63,2026-02-10 20:22:02,[113383|0]
64,2026-02-10 20:22:02,[113307|0]
65,2026-02-10 20:22:02,[113299|0]
66,2026-02-10 20:22:02,[113299|0]
67,2026-02-10 20:22:02,[113331|0]
68,2026-02-10 20:22:02,[113352|0]
69,2026-02-10 20:22:02,[113379|0]
70,2026-02-10 20:22:02,[113383|0]
71,2026-02-10 20:22:02,[113347|0]
72,2026-02-10 20:22:02,[113361|0]
73,2026-02-10 20:22:03,[113365|0]
74,2026-02-10 20:22:03,[113356|0]
75,2026-02-10 20:22:03,[113340|0]
76,2026-02-10 20:22:03,[113343|0]
77,2026-02-10 20:22:03,[113332|0]
78,2026-02-10 20:22:03,[113363|0]
79,2026-02-10 20:22:03,[113361|0]
80,2026-02-10 20:22:03,[113339|0]
81,2026-02-10 20:22:03,[113297|0]
82,2026-02-10 20:22:03,[113324|0]
83,2026-02-10 20:22:03,[113299|0]
84,2026-02-10 20:22:03,[113322|0]
85,2026-02-10 20:22:03,[113310|0]
86,2026-02-10 20:22:03,[113307|0]
87,2026-02-10 20:22:03,[113302|0]
88,2026-02-10 20:22:03,[113298|0]
89,2026-02-10 20:22:03,[113259|0]
90,2026-02-10 20:22:03,[113282|0]
91,2026-02-10 20:22:03,[113283|0]
