Packet_Number,Timestamp,Data
1,2026-02-10 20:22:00,[104481|0]
2,2026-02-10 20:22:00,[104471|0]
3,2026-02-10 20:22:00,[104522|0]
4,2026-02-10 20:22:00,[104500|0]
5,2026-02-10 20:22:00,[104463|0]
6,2026-02-10 20:22:00,[104484|0]
7,2026-02-10 20:22:00,[104441|0]
8,2026-02-10 20:22:00,[104427|0]
9,2026-02-10 20:22:00,[104570|0]
10,2026-02-10 20:22:00,[104668|0]
11,2026-02-10 20:22:00,[104548|0]
12,2026-02-10 20:22:00,[104583|0]
13,2026-02-10 20:22:00,[104539|0]
14,2026-02-10 20:22:00,[104536|0]
15,2026-02-10 20:22:00,[104651|0]
16,2026-02-10 20:22:00,[104667|0]
17,2026-02-10 20:22:00,[104667|0]
18,2026-02-10 20:22:00,[104679|0]
19,2026-02-10 20:22:00,[104704|0]
20,2026-02-10 20:22:00,[104676|0]
21,2026-02-10 20:22:00,[104645|0]
22,2026-02-10 20:22:00,[104649|0]
23,2026-02-10 20:22:01,[104650|0]
24,2026-02-10 20:22:01,[104707|0]
25,2026-02-10 20:22:01,[104698|0]
26,2026-02-10 20:22:01,[104729|0]
27,2026-02-10 20:22:01,[104757|0]
28,2026-02-10 20:22:01,[104743|0]
29,2026-02-10 20:22:01,[104692|0]
30,2026-02-10 20:22:01,[104689|0]
31,2026-02-10 20:22:01,[104800|0]
32,2026-02-10 20:22:01,[105063|0]
33,2026-02-10 20:22:01,[105156|0]
34,2026-02-10 20:22:01,[104944|0]
35,2026-02-10 20:22:01,[104753|0]
36,2026-02-10 20:22:01,[104644|0]
37,2026-02-10 20:22:01,[104643|0]
38,2026-02-10 20:22:01,[104761|0]
39,2026-02-10 20:22:01,[104856|0]
40,2026-02-10 20:22:01,[104828|0]
41,2026-02-10 20:22:01,[104710|0]
42,2026-02-10 20:22:01,[104697|0]
43,2026-02-10 20:22:01,[104741|0]
44,2026-02-10 20:22:01,[104846|0]
45,2026-02-10 20:22:01,[104937|0]
46,2026-02-10 20:22:01,[104988|0]
47,2026-02-10 20:22:01,[105043|0]
48,2026-02-10 20:22:01,[105086|0]
49,2026-02-10 20:22:02,[105100|0]
50,2026-02-10 20:22:02,[105109|0]
51,2026-02-10 20:22:02,[105130|0]
52,2026-02-10 20:22:02,[105130|0]
53,2026-02-10 20:22:02,[105134|0]
54,2026-02-10 20:22:02,[105159|0]
55,2026-02-10 20:22:02,[105172|0]
56,2026-02-10 20:22:02,[105142|0]
57,2026-02-10 20:22:02,[105143|0]
58,2026-02-10 20:22:02,[105109|0]
59,2026-02-10 20:22:02,[105104|0]
60,2026-02-10 20:22:02,[105108|0]
61,2026-02-10 20:22:02,[105096|0]
62,2026-02-10 20:22:02,[105075|0]
63,2026-02-10 20:22:02,[105065|0]
64,2026-02-10 20:22:02,[105020|0]
65,2026-02-10 20:22:02,[105021|0]
66,2026-02-10 20:22:02,[105021|0]
67,2026-02-10 20:22:02,[105033|0]
68,2026-02-10 20:22:02,[105032|0]
69,2026-02-10 20:22:02,[105058|0]
70,2026-02-10 20:22:02,[105036|0]
71,2026-02-10 20:22:02,[105023|0]
72,2026-02-10 20:22:02,[105031|0]
73,2026-02-10 20:22:03,[105043|0]
74,2026-02-10 20:22:03,[105028|0]
75,2026-02-10 20:22:03,[105021|0]
76,2026-02-10 20:22:03,[105033|0]
77,2026-02-10 20:22:03,[105007|0]
