Packet_Number,Timestamp,Data
1,2026-01-31 19:26:31,[-30.76923076923077|-17.582417582417584|-15.384615384615385|-8.058608058608058|8.058608058608058]
2,2026-01-31 19:26:31,[17.582417582417584|31.501831501831504|41.75824175824176|54.94505494505494|80.58608058608058]
3,2026-01-31 19:26:31,[104.76190476190476|134.7985347985348|156.04395604395606|179.48717948717947|197.06959706959708]
4,2026-01-31 19:26:31,[204.3956043956044|214.65201465201466|202.93040293040292|173.62637362637363|147.25274725274724]
5,2026-01-31 19:26:31,[99.63369963369964|38.095238095238095|-21.245421245421245|-68.13186813186813|-113.55311355311355]
6,2026-01-31 19:26:31,[-150.1831501831502|-170.6959706959707|-193.4065934065934|-202.1978021978022|-202.93040293040292]
7,2026-01-31 19:26:31,[-205.86080586080587|-195.6043956043956|-194.13919413919413|-191.2087912087912|-182.41758241758242]
8,2026-01-31 19:26:31,[-182.41758241758242|-173.62637362637363|-176.55677655677655|-158.97435897435898|-161.9047619047619]
9,2026-01-31 19:26:31,[-167.76556776556777|-166.3003663003663|-178.02197802197801|-179.48717948717947|-176.55677655677655]
10,2026-01-31 19:26:31,[-178.02197802197801|-174.35897435897436|-188.2783882783883|-188.2783882783883|-191.2087912087912]
11,2026-01-31 19:26:32,[-188.2783882783883|-180.21978021978023|-188.2783882783883|-172.8937728937729|-182.41758241758242]
12,2026-01-31 19:26:32,[-179.48717948717947|-178.02197802197801|-182.41758241758242|-178.02197802197801|-172.16117216117217]
13,2026-01-31 19:26:32,[-176.55677655677655|-168.4981684981685|-164.83516483516485|-167.03296703296704|-167.76556776556777]
14,2026-01-31 19:26:32,[-166.3003663003663|-157.50915750915752|-160.43956043956044|-140.65934065934067|-144.32234432234432]
15,2026-01-31 19:26:32,[-146.5201465201465|-147.25274725274724|-142.85714285714286|-132.6007326007326|-134.06593406593407]
16,2026-01-31 19:26:32,[-145.05494505494505|-134.7985347985348|-144.32234432234432|-148.71794871794873|-129.67032967032966]
17,2026-01-31 19:26:32,[-109.15750915750915|-94.50549450549451|-101.83150183150182|-85.71428571428571|-119.41391941391942]
18,2026-01-31 19:26:32,[-132.6007326007326|-134.7985347985348|-123.80952380952381|-120.14652014652015|-120.87912087912088]
19,2026-01-31 19:26:32,[-122.34432234432235|-131.13553113553112|-142.12454212454213|-43.223443223443226|248.35164835164835]
20,2026-01-31 19:26:32,[617.5824175824176|512.8205128205128|21.245421245421245|-412.45421245421244|-319.4139194139194]
21,2026-01-31 19:26:32,[-121.6117216117216|-95.23809523809524|-93.77289377289377|-74.72527472527473|-70.32967032967034]
22,2026-01-31 19:26:32,[-71.06227106227107|-65.2014652014652|-63.73626373626374|-54.94505494505494|-49.08424908424909]
23,2026-01-31 19:26:32,[-43.223443223443226|-31.501831501831504|-25.641025641025642|-5.86080586080586|5.128205128205129]
24,2026-01-31 19:26:32,[16.117216117216117|37.362637362637365|54.94505494505494|77.65567765567765|106.22710622710623]
25,2026-01-31 19:26:32,[122.34432234432235|154.57875457875457|170.6959706959707|186.8131868131868|195.6043956043956]
26,2026-01-31 19:26:32,[186.8131868131868|183.88278388278388|147.25274725274724|113.55311355311355|54.21245421245421]
27,2026-01-31 19:26:32,[-13.91941391941392|-65.2014652014652|-110.62271062271063|-147.98534798534797|-178.75457875457874]
28,2026-01-31 19:26:32,[-200.0|-207.32600732600733|-215.3846153846154|-215.3846153846154|-213.1868131868132]
29,2026-01-31 19:26:32,[-213.1868131868132|-200.0|-197.06959706959708|-179.48717948717947|-179.48717948717947]
30,2026-01-31 19:26:32,[-180.95238095238096|-178.75457875457874|-179.48717948717947|-172.16117216117217|-173.62637362637363]
31,2026-01-31 19:26:32,[-178.02197802197801|-172.8937728937729|-176.55677655677655|-174.35897435897436|-167.76556776556777]
32,2026-01-31 19:26:32,[-172.8937728937729|-178.75457875457874|-180.95238095238096|-176.55677655677655|-178.02197802197801]
33,2026-01-31 19:26:32,[-181.6849816849817|-178.75457875457874|-175.0915750915751|-177.28937728937728|-174.35897435897436]
34,2026-01-31 19:26:32,[-172.8937728937729|-167.76556776556777|-164.83516483516485|-166.3003663003663|-165.56776556776558]
35,2026-01-31 19:26:32,[-166.3003663003663|-156.04395604395606|-157.50915750915752|-156.04395604395606|-145.78754578754578]
36,2026-01-31 19:26:33,[-153.84615384615384|-146.5201465201465|-134.7985347985348|-135.53113553113553|-135.53113553113553]
37,2026-01-31 19:26:33,[-132.6007326007326|-134.06593406593407|-132.6007326007326|-134.7985347985348|-134.06593406593407]
38,2026-01-31 19:26:33,[-131.13553113553112|-123.07692307692308|-126.73992673992674|-140.65934065934067|-118.68131868131869]
39,2026-01-31 19:26:33,[-126.00732600732601|-123.07692307692308|-122.34432234432235|-113.55311355311355|-112.08791208791209]
40,2026-01-31 19:26:33,[-119.41391941391942|-114.28571428571429|-123.80952380952381|-112.82051282051282|-87.91208791208791]
41,2026-01-31 19:26:33,[-76.92307692307692|-76.92307692307692|-85.71428571428571|-119.41391941391942|-109.15750915750915]
42,2026-01-31 19:26:33,[-112.82051282051282|-112.82051282051282|-117.94871794871794|-115.75091575091575|-110.62271062271063]
43,2026-01-31 19:26:33,[-117.94871794871794|-132.6007326007326|-67.3992673992674|195.6043956043956|596.3369963369963]
44,2026-01-31 19:26:33,[594.8717948717949|113.55311355311355|-361.17216117216117|-336.2637362637363|-115.01831501831502]
45,2026-01-31 19:26:33,[-82.78388278388279|-75.45787545787546|-71.06227106227107|-66.66666666666667|-60.8058608058608]
46,2026-01-31 19:26:33,[-61.53846153846154|-52.014652014652015|-47.61904761904762|-35.8974358974359|-32.967032967032964]
47,2026-01-31 19:26:33,[-28.571428571428573|-11.72161172161172|3.663003663003663|-7.326007326007326|30.036630036630036]
48,2026-01-31 19:26:33,[39.56043956043956|55.67765567765568|79.85347985347985|111.35531135531136|135.53113553113553]
49,2026-01-31 19:26:33,[161.17216117216117|191.2087912087912|210.25641025641025|218.3150183150183|219.04761904761904]
50,2026-01-31 19:26:33,[208.7912087912088|183.88278388278388|145.05494505494505|76.19047619047619|39.56043956043956]
51,2026-01-31 19:26:33,[-28.571428571428573|-79.12087912087912|-122.34432234432235|-158.24175824175825|-180.95238095238096]
52,2026-01-31 19:26:33,[-197.06959706959708|-205.86080586080587|-211.7216117216117|-208.7912087912088|-210.25641025641025]
53,2026-01-31 19:26:33,[-208.05860805860806|-204.3956043956044|-202.93040293040292|-234.43223443223442|-195.6043956043956]
54,2026-01-31 19:26:33,[-192.67399267399267|-183.88278388278388|-183.15018315018315|-179.48717948717947|-176.55677655677655]
55,2026-01-31 19:26:33,[-173.62637362637363|-179.48717948717947|-181.6849816849817|-180.21978021978023|-182.41758241758242]
56,2026-01-31 19:26:33,[-191.2087912087912|-188.2783882783883|-190.47619047619048|-219.04761904761904|-178.02197802197801]
57,2026-01-31 19:26:33,[-180.95238095238096|-183.15018315018315|-188.2783882783883|-183.88278388278388|-178.02197802197801]
58,2026-01-31 19:26:33,[-169.23076923076923|-161.9047619047619|-164.10256410256412|-161.17216117216117|-164.83516483516485]
59,2026-01-31 19:26:33,[-164.10256410256412|-154.57875457875457|-157.50915750915752|-191.2087912087912|-148.71794871794873]
60,2026-01-31 19:26:33,[-154.57875457875457|-142.85714285714286|-141.3919413919414|-134.7985347985348|-135.53113553113553]
61,2026-01-31 19:26:33,[-141.3919413919414|-135.53113553113553|-134.06593406593407|-135.53113553113553|-134.7985347985348]
62,2026-01-31 19:26:34,[-131.13553113553112|-123.07692307692308|-129.67032967032966|-159.7069597069597|-112.08791208791209]
63,2026-01-31 19:26:34,[-110.62271062271063|-109.15750915750915|-105.49450549450549|-100.36630036630036|-101.83150183150182]
64,2026-01-31 19:26:34,[-96.7032967032967|-87.17948717948718|-85.71428571428571|-88.64468864468864|-95.23809523809524]
