Packet_Number,Timestamp,Data
1,2026-01-31 19:26:31,[111446|0]
2,2026-01-31 19:26:31,[111510|0]
3,2026-01-31 19:26:31,[111583|0]
4,2026-01-31 19:26:31,[111632|0]
5,2026-01-31 19:26:31,[111470|0]
6,2026-01-31 19:26:31,[111145|0]
7,2026-01-31 19:26:31,[111003|0]
8,2026-01-31 19:26:31,[110993|0]
9,2026-01-31 19:26:31,[111053|0]
10,2026-01-31 19:26:31,[111098|0]
11,2026-01-31 19:26:32,[111153|0]
12,2026-01-31 19:26:32,[111101|0]
13,2026-01-31 19:26:32,[111105|0]
14,2026-01-31 19:26:32,[111108|0]
15,2026-01-31 19:26:32,[111173|0]
16,2026-01-31 19:26:32,[111230|0]
17,2026-01-31 19:26:32,[111277|0]
18,2026-01-31 19:26:32,[111309|0]
19,2026-01-31 19:26:32,[111386|0]
20,2026-01-31 19:26:32,[111436|0]
21,2026-01-31 19:26:32,[111482|0]
22,2026-01-31 19:26:32,[111520|0]
23,2026-01-31 19:26:32,[111558|0]
24,2026-01-31 19:26:32,[111610|0]
25,2026-01-31 19:26:32,[111681|0]
26,2026-01-31 19:26:32,[111677|0]
27,2026-01-31 19:26:32,[111448|0]
28,2026-01-31 19:26:32,[111233|0]
29,2026-01-31 19:26:32,[111184|0]
30,2026-01-31 19:26:32,[111219|0]
31,2026-01-31 19:26:32,[111285|0]
32,2026-01-31 19:26:32,[111333|0]
33,2026-01-31 19:26:32,[111363|0]
34,2026-01-31 19:26:32,[111349|0]
35,2026-01-31 19:26:32,[111335|0]
36,2026-01-31 19:26:33,[111361|0]
37,2026-01-31 19:26:33,[111434|0]
38,2026-01-31 19:26:33,[111480|0]
39,2026-01-31 19:26:33,[111534|0]
40,2026-01-31 19:26:33,[111605|0]
41,2026-01-31 19:26:33,[111643|0]
42,2026-01-31 19:26:33,[111670|0]
43,2026-01-31 19:26:33,[111724|0]
44,2026-01-31 19:26:33,[111780|0]
45,2026-01-31 19:26:33,[111815|0]
46,2026-01-31 19:26:33,[111866|0]
47,2026-01-31 19:26:33,[111918|0]
48,2026-01-31 19:26:33,[111969|0]
49,2026-01-31 19:26:33,[112023|0]
50,2026-01-31 19:26:33,[111927|0]
51,2026-01-31 19:26:33,[111697|0]
52,2026-01-31 19:26:33,[111612|0]
53,2026-01-31 19:26:33,[111636|0]
54,2026-01-31 19:26:33,[111702|0]
55,2026-01-31 19:26:33,[111755|0]
56,2026-01-31 19:26:33,[111789|0]
57,2026-01-31 19:26:33,[111795|0]
58,2026-01-31 19:26:33,[111796|0]
59,2026-01-31 19:26:33,[111787|0]
60,2026-01-31 19:26:33,[111819|0]
61,2026-01-31 19:26:33,[111878|0]
62,2026-01-31 19:26:34,[111932|0]
63,2026-01-31 19:26:34,[111970|0]
64,2026-01-31 19:26:34,[112008|0]
65,2026-01-31 19:26:34,[112008|0]
66,2026-01-31 19:26:34,[112019|0]
67,2026-01-31 19:26:34,[112067|0]
68,2026-01-31 19:26:34,[112092|0]
69,2026-01-31 19:26:34,[112161|0]
70,2026-01-31 19:26:34,[112187|0]
71,2026-01-31 19:26:34,[112233|0]
72,2026-01-31 19:26:34,[112266|0]
73,2026-01-31 19:26:34,[112318|0]
74,2026-01-31 19:26:34,[112367|0]
75,2026-01-31 19:26:34,[112426|0]
76,2026-01-31 19:26:34,[112389|0]
77,2026-01-31 19:26:34,[112190|0]
78,2026-01-31 19:26:34,[112065|0]
79,2026-01-31 19:26:34,[112090|0]
80,2026-01-31 19:26:34,[112160|0]
81,2026-01-31 19:26:34,[112231|0]
82,2026-01-31 19:26:34,[112298|0]
83,2026-01-31 19:26:34,[112290|0]
84,2026-01-31 19:26:34,[112262|0]
85,2026-01-31 19:26:34,[112260|0]
86,2026-01-31 19:26:35,[112277|0]
87,2026-01-31 19:26:35,[112328|0]
88,2026-01-31 19:26:35,[112375|0]
89,2026-01-31 19:26:35,[112420|0]
90,2026-01-31 19:26:35,[112441|0]
91,2026-01-31 19:26:35,[112483|0]
92,2026-01-31 19:26:35,[112516|0]
93,2026-01-31 19:26:35,[112541|0]
94,2026-01-31 19:26:35,[112569|0]
95,2026-01-31 19:26:35,[112605|0]
96,2026-01-31 19:26:35,[112606|0]
97,2026-01-31 19:26:35,[112679|0]
98,2026-01-31 19:26:35,[112663|0]
99,2026-01-31 19:26:35,[112582|0]
100,2026-01-31 19:26:35,[112551|0]
101,2026-01-31 19:26:35,[112549|0]
102,2026-01-31 19:26:35,[112549|0]
103,2026-01-31 19:26:35,[112609|0]
104,2026-01-31 19:26:35,[112646|0]
105,2026-01-31 19:26:35,[112654|0]
106,2026-01-31 19:26:35,[112641|0]
107,2026-01-31 19:26:35,[112639|0]
108,2026-01-31 19:26:35,[112637|0]
109,2026-01-31 19:26:35,[112687|0]
