Packet_Number,Timestamp,Data
1,2026-01-31 19:26:31,[110876|0]
2,2026-01-31 19:26:31,[110902|0]
3,2026-01-31 19:26:31,[110940|0]
4,2026-01-31 19:26:31,[110953|0]
5,2026-01-31 19:26:31,[110897|0]
6,2026-01-31 19:26:31,[110760|0]
7,2026-01-31 19:26:31,[110707|0]
8,2026-01-31 19:26:31,[110705|0]
9,2026-01-31 19:26:31,[110727|0]
10,2026-01-31 19:26:31,[110753|0]
11,2026-01-31 19:26:32,[110778|0]
12,2026-01-31 19:26:32,[110744|0]
13,2026-01-31 19:26:32,[110749|0]
14,2026-01-31 19:26:32,[110749|0]
15,2026-01-31 19:26:32,[110801|0]
16,2026-01-31 19:26:32,[110812|0]
17,2026-01-31 19:26:32,[110835|0]
18,2026-01-31 19:26:32,[110833|0]
19,2026-01-31 19:26:32,[110874|0]
20,2026-01-31 19:26:32,[110897|0]
21,2026-01-31 19:26:32,[110922|0]
22,2026-01-31 19:26:32,[110930|0]
23,2026-01-31 19:26:32,[110959|0]
24,2026-01-31 19:26:32,[110959|0]
25,2026-01-31 19:26:32,[110996|0]
26,2026-01-31 19:26:32,[110993|0]
27,2026-01-31 19:26:32,[110907|0]
28,2026-01-31 19:26:32,[110824|0]
29,2026-01-31 19:26:32,[110789|0]
30,2026-01-31 19:26:32,[110787|0]
31,2026-01-31 19:26:32,[110821|0]
32,2026-01-31 19:26:32,[110846|0]
33,2026-01-31 19:26:32,[110854|0]
34,2026-01-31 19:26:32,[110839|0]
35,2026-01-31 19:26:32,[110836|0]
36,2026-01-31 19:26:33,[110835|0]
37,2026-01-31 19:26:33,[110875|0]
38,2026-01-31 19:26:33,[110897|0]
39,2026-01-31 19:26:33,[110920|0]
40,2026-01-31 19:26:33,[110937|0]
41,2026-01-31 19:26:33,[110948|0]
42,2026-01-31 19:26:33,[110956|0]
43,2026-01-31 19:26:33,[110997|0]
44,2026-01-31 19:26:33,[111020|0]
45,2026-01-31 19:26:33,[111034|0]
46,2026-01-31 19:26:33,[111057|0]
47,2026-01-31 19:26:33,[111072|0]
48,2026-01-31 19:26:33,[111092|0]
49,2026-01-31 19:26:33,[111120|0]
50,2026-01-31 19:26:33,[111071|0]
51,2026-01-31 19:26:33,[110972|0]
52,2026-01-31 19:26:33,[110930|0]
53,2026-01-31 19:26:33,[110928|0]
54,2026-01-31 19:26:33,[110965|0]
55,2026-01-31 19:26:33,[110980|0]
56,2026-01-31 19:26:33,[110992|0]
57,2026-01-31 19:26:33,[110987|0]
58,2026-01-31 19:26:33,[110979|0]
59,2026-01-31 19:26:33,[110974|0]
60,2026-01-31 19:26:33,[110995|0]
61,2026-01-31 19:26:33,[111027|0]
62,2026-01-31 19:26:34,[111035|0]
63,2026-01-31 19:26:34,[111059|0]
64,2026-01-31 19:26:34,[111074|0]
65,2026-01-31 19:26:34,[111074|0]
66,2026-01-31 19:26:34,[111065|0]
67,2026-01-31 19:26:34,[111088|0]
68,2026-01-31 19:26:34,[111105|0]
69,2026-01-31 19:26:34,[111133|0]
70,2026-01-31 19:26:34,[111140|0]
71,2026-01-31 19:26:34,[111177|0]
72,2026-01-31 19:26:34,[111175|0]
73,2026-01-31 19:26:34,[111198|0]
74,2026-01-31 19:26:34,[111219|0]
75,2026-01-31 19:26:34,[111241|0]
76,2026-01-31 19:26:34,[111216|0]
77,2026-01-31 19:26:34,[111143|0]
78,2026-01-31 19:26:34,[111079|0]
79,2026-01-31 19:26:34,[111098|0]
80,2026-01-31 19:26:34,[111120|0]
81,2026-01-31 19:26:34,[111141|0]
82,2026-01-31 19:26:34,[111167|0]
83,2026-01-31 19:26:34,[111184|0]
84,2026-01-31 19:26:34,[111125|0]
85,2026-01-31 19:26:34,[111144|0]
86,2026-01-31 19:26:35,[111167|0]
87,2026-01-31 19:26:35,[111184|0]
88,2026-01-31 19:26:35,[111207|0]
89,2026-01-31 19:26:35,[111217|0]
90,2026-01-31 19:26:35,[111211|0]
91,2026-01-31 19:26:35,[111238|0]
92,2026-01-31 19:26:35,[111257|0]
93,2026-01-31 19:26:35,[111269|0]
94,2026-01-31 19:26:35,[111280|0]
95,2026-01-31 19:26:35,[111293|0]
96,2026-01-31 19:26:35,[111287|0]
97,2026-01-31 19:26:35,[111327|0]
98,2026-01-31 19:26:35,[111309|0]
99,2026-01-31 19:26:35,[111269|0]
100,2026-01-31 19:26:35,[111255|0]
101,2026-01-31 19:26:35,[111259|0]
102,2026-01-31 19:26:35,[111252|0]
103,2026-01-31 19:26:35,[111281|0]
104,2026-01-31 19:26:35,[111299|0]
105,2026-01-31 19:26:35,[111308|0]
106,2026-01-31 19:26:35,[111293|0]
107,2026-01-31 19:26:35,[111298|0]
108,2026-01-31 19:26:35,[111280|0]
109,2026-01-31 19:26:35,[111306|0]
110,2026-01-31 19:26:35,[111305|0]
111,2026-01-31 19:26:36,[111318|0]
112,2026-01-31 19:26:36,[111328|0]
113,2026-01-31 19:26:36,[111334|0]
114,2026-01-31 19:26:36,[111324|0]
115,2026-01-31 19:26:36,[111343|0]
116,2026-01-31 19:26:36,[111278|0]
117,2026-01-31 19:26:36,[111217|0]
118,2026-01-31 19:26:36,[111183|0]
119,2026-01-31 19:26:36,[111203|0]
120,2026-01-31 19:26:36,[111194|0]
121,2026-01-31 19:26:36,[111238|0]
122,2026-01-31 19:26:36,[111246|0]
123,2026-01-31 19:26:36,[111214|0]
124,2026-01-31 19:26:36,[111199|0]
125,2026-01-31 19:26:36,[111193|0]
126,2026-01-31 19:26:36,[111184|0]
127,2026-01-31 19:26:36,[111223|0]
128,2026-01-31 19:26:36,[111228|0]
129,2026-01-31 19:26:36,[111257|0]
130,2026-01-31 19:26:36,[111250|0]
131,2026-01-31 19:26:36,[111263|0]
132,2026-01-31 19:26:36,[111259|0]
133,2026-01-31 19:26:36,[111272|0]
134,2026-01-31 19:26:36,[111285|0]
135,2026-01-31 19:26:36,[111306|0]
136,2026-01-31 19:26:36,[111263|0]
137,2026-01-31 19:26:37,[111145|0]
138,2026-01-31 19:26:37,[111047|0]
139,2026-01-31 19:26:37,[111033|0]
140,2026-01-31 19:26:37,[111050|0]
141,2026-01-31 19:26:37,[111047|0]
142,2026-01-31 19:26:37,[111059|0]
143,2026-01-31 19:26:37,[111039|0]
144,2026-01-31 19:26:37,[111017|0]
145,2026-01-31 19:26:37,[111019|0]
146,2026-01-31 19:26:37,[111023|0]
147,2026-01-31 19:26:37,[111032|0]
148,2026-01-31 19:26:37,[111055|0]
149,2026-01-31 19:26:37,[111055|0]
150,2026-01-31 19:26:37,[111064|0]
151,2026-01-31 19:26:37,[111083|0]
152,2026-01-31 19:26:37,[111103|0]
153,2026-01-31 19:26:37,[111121|0]
154,2026-01-31 19:26:37,[111131|0]
155,2026-01-31 19:26:37,[111131|0]
156,2026-01-31 19:26:37,[111149|0]
157,2026-01-31 19:26:37,[111138|0]
158,2026-01-31 19:26:37,[111080|0]
159,2026-01-31 19:26:37,[111013|0]
160,2026-01-31 19:26:37,[111017|0]
161,2026-01-31 19:26:38,[111031|0]
162,2026-01-31 19:26:38,[111060|0]
163,2026-01-31 19:26:38,[111083|0]
164,2026-01-31 19:26:38,[111094|0]
165,2026-01-31 19:26:38,[111091|0]
166,2026-01-31 19:26:38,[111082|0]
167,2026-01-31 19:26:38,[111089|0]
168,2026-01-31 19:26:38,[111114|0]
169,2026-01-31 19:26:38,[111141|0]
170,2026-01-31 19:26:38,[111173|0]
171,2026-01-31 19:26:38,[111202|0]
172,2026-01-31 19:26:38,[111221|0]
173,2026-01-31 19:26:38,[111224|0]
174,2026-01-31 19:26:38,[111238|0]
175,2026-01-31 19:26:38,[111277|0]
176,2026-01-31 19:26:38,[111298|0]
177,2026-01-31 19:26:38,[111322|0]
178,2026-01-31 19:26:38,[111338|0]
179,2026-01-31 19:26:38,[111338|0]
180,2026-01-31 19:26:38,[111308|0]
181,2026-01-31 19:26:38,[111259|0]
182,2026-01-31 19:26:38,[111246|0]
183,2026-01-31 19:26:38,[111287|0]
184,2026-01-31 19:26:38,[111307|0]
185,2026-01-31 19:26:38,[111343|0]
186,2026-01-31 19:26:39,[111362|0]
187,2026-01-31 19:26:39,[111378|0]
188,2026-01-31 19:26:39,[111382|0]
189,2026-01-31 19:26:39,[111390|0]
190,2026-01-31 19:26:39,[111405|0]
191,2026-01-31 19:26:39,[111437|0]
192,2026-01-31 19:26:39,[111430|0]
193,2026-01-31 19:26:39,[111463|0]
194,2026-01-31 19:26:39,[111483|0]
195,2026-01-31 19:26:39,[111506|0]
196,2026-01-31 19:26:39,[111517|0]
197,2026-01-31 19:26:39,[111532|0]
198,2026-01-31 19:26:39,[111524|0]
199,2026-01-31 19:26:39,[111519|0]
200,2026-01-31 19:26:39,[111472|0]
201,2026-01-31 19:26:39,[111479|0]
202,2026-01-31 19:26:39,[111506|0]
203,2026-01-31 19:26:39,[111539|0]
204,2026-01-31 19:26:39,[111539|0]
205,2026-01-31 19:26:39,[111579|0]
206,2026-01-31 19:26:39,[111583|0]
207,2026-01-31 19:26:39,[111571|0]
208,2026-01-31 19:26:39,[111582|0]
209,2026-01-31 19:26:39,[111594|0]
210,2026-01-31 19:26:39,[111590|0]
211,2026-01-31 19:26:39,[111620|0]
212,2026-01-31 19:26:40,[111630|0]
213,2026-01-31 19:26:40,[111636|0]
214,2026-01-31 19:26:40,[111648|0]
215,2026-01-31 19:26:40,[111666|0]
216,2026-01-31 19:26:40,[111646|0]
217,2026-01-31 19:26:40,[111649|0]
218,2026-01-31 19:26:40,[111596|0]
219,2026-01-31 19:26:40,[111606|0]
220,2026-01-31 19:26:40,[111621|0]
221,2026-01-31 19:26:40,[111652|0]
222,2026-01-31 19:26:40,[111651|0]
223,2026-01-31 19:26:40,[111689|0]
224,2026-01-31 19:26:40,[111677|0]
225,2026-01-31 19:26:40,[111678|0]
226,2026-01-31 19:26:40,[111687|0]
227,2026-01-31 19:26:40,[111698|0]
228,2026-01-31 19:26:40,[111679|0]
229,2026-01-31 19:26:40,[111717|0]
230,2026-01-31 19:26:40,[111721|0]
231,2026-01-31 19:26:40,[111737|0]
232,2026-01-31 19:26:40,[111736|0]
233,2026-01-31 19:26:40,[111740|0]
234,2026-01-31 19:26:40,[111722|0]
235,2026-01-31 19:26:40,[111760|0]
236,2026-01-31 19:26:41,[111763|0]
237,2026-01-31 19:26:41,[111750|0]
238,2026-01-31 19:26:41,[111682|0]
239,2026-01-31 19:26:41,[111640|0]
240,2026-01-31 19:26:41,[111642|0]
241,2026-01-31 19:26:41,[111669|0]
242,2026-01-31 19:26:41,[111699|0]
243,2026-01-31 19:26:41,[111726|0]
244,2026-01-31 19:26:41,[111732|0]
245,2026-01-31 19:26:41,[111711|0]
246,2026-01-31 19:26:41,[111697|0]
247,2026-01-31 19:26:41,[111712|0]
248,2026-01-31 19:26:41,[111724|0]
249,2026-01-31 19:26:41,[111727|0]
250,2026-01-31 19:26:41,[111750|0]
251,2026-01-31 19:26:41,[111742|0]
252,2026-01-31 19:26:41,[111742|0]
253,2026-01-31 19:26:41,[111761|0]
254,2026-01-31 19:26:41,[111766|0]
255,2026-01-31 19:26:41,[111772|0]
256,2026-01-31 19:26:41,[111770|0]
257,2026-01-31 19:26:41,[111776|0]
258,2026-01-31 19:26:41,[111771|0]
259,2026-01-31 19:26:41,[111790|0]
260,2026-01-31 19:26:41,[111804|0]
261,2026-01-31 19:26:42,[111781|0]
262,2026-01-31 19:26:42,[111700|0]
263,2026-01-31 19:26:42,[111656|0]
264,2026-01-31 19:26:42,[111670|0]
265,2026-01-31 19:26:42,[111693|0]
266,2026-01-31 19:26:42,[111698|0]
267,2026-01-31 19:26:42,[111699|0]
268,2026-01-31 19:26:42,[111699|0]
269,2026-01-31 19:26:42,[111672|0]
270,2026-01-31 19:26:42,[111659|0]
271,2026-01-31 19:26:42,[111679|0]
272,2026-01-31 19:26:42,[111701|0]
273,2026-01-31 19:26:42,[111703|0]
274,2026-01-31 19:26:42,[111706|0]
275,2026-01-31 19:26:42,[111698|0]
276,2026-01-31 19:26:42,[111702|0]
277,2026-01-31 19:26:42,[111715|0]
278,2026-01-31 19:26:42,[111708|0]
279,2026-01-31 19:26:42,[111723|0]
280,2026-01-31 19:26:42,[111714|0]
281,2026-01-31 19:26:42,[111710|0]
282,2026-01-31 19:26:42,[111722|0]
283,2026-01-31 19:26:42,[111732|0]
284,2026-01-31 19:26:42,[111740|0]
285,2026-01-31 19:26:42,[111744|0]
286,2026-01-31 19:26:43,[111680|0]
287,2026-01-31 19:26:43,[111597|0]
288,2026-01-31 19:26:43,[111581|0]
289,2026-01-31 19:26:43,[111594|0]
290,2026-01-31 19:26:43,[111606|0]
291,2026-01-31 19:26:43,[111608|0]
292,2026-01-31 19:26:43,[111602|0]
293,2026-01-31 19:26:43,[111576|0]
294,2026-01-31 19:26:43,[111576|0]
295,2026-01-31 19:26:43,[111556|0]
296,2026-01-31 19:26:43,[111558|0]
297,2026-01-31 19:26:43,[111558|0]
298,2026-01-31 19:26:43,[111551|0]
299,2026-01-31 19:26:43,[111566|0]
300,2026-01-31 19:26:43,[111557|0]
301,2026-01-31 19:26:43,[111564|0]
302,2026-01-31 19:26:43,[111554|0]
303,2026-01-31 19:26:43,[111552|0]
304,2026-01-31 19:26:43,[111564|0]
305,2026-01-31 19:26:43,[111562|0]
306,2026-01-31 19:26:43,[111549|0]
307,2026-01-31 19:26:43,[111569|0]
308,2026-01-31 19:26:43,[111565|0]
309,2026-01-31 19:26:43,[111573|0]
310,2026-01-31 19:26:43,[111576|0]
311,2026-01-31 19:26:44,[111569|0]
312,2026-01-31 19:26:44,[111487|0]
313,2026-01-31 19:26:44,[111424|0]
314,2026-01-31 19:26:44,[111408|0]
315,2026-01-31 19:26:44,[111410|0]
316,2026-01-31 19:26:44,[111416|0]
317,2026-01-31 19:26:44,[111414|0]
318,2026-01-31 19:26:44,[111384|0]
319,2026-01-31 19:26:44,[111390|0]
320,2026-01-31 19:26:44,[111358|0]
321,2026-01-31 19:26:44,[111363|0]
322,2026-01-31 19:26:44,[111358|0]
323,2026-01-31 19:26:44,[111353|0]
324,2026-01-31 19:26:44,[111349|0]
325,2026-01-31 19:26:44,[111370|0]
326,2026-01-31 19:26:44,[111360|0]
327,2026-01-31 19:26:44,[111361|0]
328,2026-01-31 19:26:44,[111360|0]
329,2026-01-31 19:26:44,[111384|0]
330,2026-01-31 19:26:44,[111356|0]
331,2026-01-31 19:26:44,[111378|0]
332,2026-01-31 19:26:44,[111377|0]
333,2026-01-31 19:26:44,[111386|0]
334,2026-01-31 19:26:44,[111397|0]
335,2026-01-31 19:26:44,[111397|0]
336,2026-01-31 19:26:45,[111326|0]
337,2026-01-31 19:26:45,[111264|0]
338,2026-01-31 19:26:45,[111229|0]
