Packet_Number,Timestamp,Data
1,2026-01-31 19:26:06,[-49.08424908424909|-41.02564102564103|-32.234432234432234|-28.571428571428573|-13.91941391941392]
2,2026-01-31 19:26:06,[-16.84981684981685|-3.663003663003663|12.454212454212454|13.91941391941392|43.223443223443226]
3,2026-01-31 19:26:06,[56.41025641025641|78.3882783882784|104.76190476190476|128.2051282051282|166.3003663003663]
4,2026-01-31 19:26:06,[191.94139194139194|216.11721611721612|241.75824175824175|233.6996336996337|238.0952380952381]
5,2026-01-31 19:26:06,[213.91941391941393|191.2087912087912|148.71794871794873|50.54945054945055|34.43223443223443]
6,2026-01-31 19:26:06,[-36.63003663003663|-88.64468864468864|-129.67032967032966|-173.62637362637363|-189.74358974358975]
7,2026-01-31 19:26:06,[-209.52380952380952|-216.84981684981685|-218.3150183150183|-224.9084249084249|-213.91941391941393]
8,2026-01-31 19:26:06,[-213.91941391941393|-213.1868131868132|-205.12820512820514|-241.02564102564102|-194.13919413919413]
9,2026-01-31 19:26:06,[-194.13919413919413|-193.4065934065934|-191.2087912087912|-194.13919413919413|-180.95238095238096]
10,2026-01-31 19:26:06,[-188.2783882783883|-183.88278388278388|-180.95238095238096|-191.2087912087912|-179.48717948717947]
11,2026-01-31 19:26:06,[-182.41758241758242|-182.41758241758242|-188.2783882783883|-224.9084249084249|-180.95238095238096]
12,2026-01-31 19:26:06,[-188.2783882783883|-180.95238095238096|-180.21978021978023|-183.88278388278388|-172.16117216117217]
13,2026-01-31 19:26:06,[-178.02197802197801|-169.96336996336996|-166.3003663003663|-177.28937728937728|-169.23076923076923]
14,2026-01-31 19:26:06,[-170.6959706959707|-167.03296703296704|-158.24175824175825|-201.46520146520146|-154.57875457875457]
15,2026-01-31 19:26:06,[-161.9047619047619|-158.97435897435898|-153.1135531135531|-156.7765567765568|-148.71794871794873]
16,2026-01-31 19:26:06,[-144.32234432234432|-141.3919413919414|-135.53113553113553|-145.78754578754578|-142.85714285714286]
17,2026-01-31 19:26:06,[-141.3919413919414|-141.3919413919414|-132.6007326007326|-164.83516483516485|-119.41391941391942]
18,2026-01-31 19:26:06,[-122.34432234432235|-121.6117216117216|-119.41391941391942|-117.94871794871794|-108.42490842490842]
19,2026-01-31 19:26:06,[-115.01831501831502|-111.35531135531136|-101.83150183150182|-108.42490842490842|-106.22710622710623]
20,2026-01-31 19:26:06,[-109.15750915750915|-106.95970695970696|-109.15750915750915|-144.32234432234432|-73.26007326007326]
21,2026-01-31 19:26:06,[-72.52747252747253|-75.45787545787546|-82.78388278388279|-109.15750915750915|-98.9010989010989]
22,2026-01-31 19:26:06,[-95.97069597069597|-94.50549450549451|-85.71428571428571|-101.83150183150182|-95.23809523809524]
23,2026-01-31 19:26:06,[-107.6923076923077|-90.10989010989012|38.827838827838825|327.4725274725275|677.6556776556777]
24,2026-01-31 19:26:06,[449.0842490842491|-32.234432234432234|-388.27838827838826|-273.2600732600733|-88.64468864468864]
25,2026-01-31 19:26:06,[-72.52747252747253|-73.26007326007326|-53.47985347985348|-54.94505494505494|-49.08424908424909]
26,2026-01-31 19:26:07,[-47.61904761904762|-40.29304029304029|-37.362637362637365|-75.45787545787546|-21.245421245421245]
27,2026-01-31 19:26:07,[-24.90842490842491|-15.384615384615385|4.395604395604396|12.454212454212454|29.304029304029303]
28,2026-01-31 19:26:07,[41.02564102564103|65.2014652014652|88.64468864468864|107.6923076923077|135.53113553113553]
29,2026-01-31 19:26:07,[161.9047619047619|193.4065934065934|210.25641025641025|203.66300366300365|226.37362637362637]
30,2026-01-31 19:26:07,[210.25641025641025|191.2087912087912|160.43956043956044|106.95970695970696|56.41025641025641]
31,2026-01-31 19:26:07,[-9.523809523809524|-65.2014652014652|-112.08791208791209|-158.97435897435898|-182.41758241758242]
32,2026-01-31 19:26:07,[-208.05860805860806|-219.04761904761904|-221.24542124542126|-249.8168498168498|-220.51282051282053]
33,2026-01-31 19:26:07,[-235.16483516483515|-220.51282051282053|-214.65201465201466|-220.51282051282053|-208.7912087912088]
34,2026-01-31 19:26:07,[-207.32600732600733|-208.05860805860806|-201.46520146520146|-200.0|-189.74358974358975]
35,2026-01-31 19:26:07,[-200.73260073260073|-202.1978021978022|-202.1978021978022|-226.37362637362637|-204.3956043956044]
36,2026-01-31 19:26:07,[-213.91941391941393|-216.84981684981685|-206.5934065934066|-206.5934065934066|-197.06959706959708]
37,2026-01-31 19:26:07,[-201.46520146520146|-200.0|-195.6043956043956|-194.13919413919413|-183.88278388278388]
38,2026-01-31 19:26:07,[-191.2087912087912|-188.2783882783883|-180.95238095238096|-196.33699633699635|-169.96336996336996]
39,2026-01-31 19:26:07,[-176.55677655677655|-173.62637362637363|-168.4981684981685|-178.02197802197801|-167.03296703296704]
40,2026-01-31 19:26:07,[-169.23076923076923|-161.9047619047619|-153.1135531135531|-160.43956043956044|-155.3113553113553]
41,2026-01-31 19:26:07,[-157.50915750915752|-149.45054945054946|-147.25274725274724|-160.43956043956044|-129.67032967032966]
42,2026-01-31 19:26:07,[-142.85714285714286|-145.78754578754578|-136.996336996337|-142.85714285714286|-129.67032967032966]
43,2026-01-31 19:26:07,[-134.06593406593407|-132.6007326007326|-120.87912087912088|-125.27472527472527|-113.55311355311355]
44,2026-01-31 19:26:07,[-110.62271062271063|-103.2967032967033|-106.22710622710623|-113.55311355311355|-110.62271062271063]
45,2026-01-31 19:26:07,[-110.62271062271063|-76.92307692307692|-63.73626373626374|-76.19047619047619|-76.19047619047619]
46,2026-01-31 19:26:07,[-99.63369963369964|-109.15750915750915|-106.22710622710623|-112.08791208791209|-106.22710622710623]
47,2026-01-31 19:26:07,[-105.49450549450549|-102.56410256410257|-110.62271062271063|-125.27472527472527|-9.523809523809524]
48,2026-01-31 19:26:07,[273.992673992674|648.3516483516484|529.6703296703297|23.44322344322344|-389.7435897435897]
49,2026-01-31 19:26:07,[-294.5054945054945|-98.9010989010989|-70.32967032967034|-73.99267399267399|-54.94505494505494]
50,2026-01-31 19:26:07,[-53.47985347985348|-50.54945054945055|-40.29304029304029|-50.54945054945055|-29.304029304029303]
51,2026-01-31 19:26:08,[-28.571428571428573|-21.245421245421245|-12.454212454212454|-15.384615384615385|6.593406593406593]
52,2026-01-31 19:26:08,[13.186813186813186|30.036630036630036|49.08424908424909|56.41025641025641|88.64468864468864]
53,2026-01-31 19:26:08,[110.62271062271063|139.19413919413918|170.6959706959707|180.21978021978023|230.76923076923077]
54,2026-01-31 19:26:08,[233.6996336996337|240.2930402930403|242.49084249084248|214.65201465201466|193.4065934065934]
55,2026-01-31 19:26:08,[138.46153846153845|82.05128205128206|21.245421245421245|-53.47985347985348|-90.10989010989012]
56,2026-01-31 19:26:08,[-132.6007326007326|-164.83516483516485|-182.41758241758242|-219.78021978021977|-201.46520146520146]
57,2026-01-31 19:26:08,[-217.58241758241758|-220.51282051282053|-217.58241758241758|-219.78021978021977|-207.32600732600733]
58,2026-01-31 19:26:08,[-202.93040293040292|-194.13919413919413|-192.67399267399267|-197.06959706959708|-191.2087912087912]
