Packet_Number,Timestamp,Data
1,2026-01-31 19:26:06,[111846|0]
2,2026-01-31 19:26:06,[111881|0]
3,2026-01-31 19:26:06,[111962|0]
4,2026-01-31 19:26:06,[112000|0]
5,2026-01-31 19:26:06,[111749|0]
6,2026-01-31 19:26:06,[111337|0]
7,2026-01-31 19:26:06,[111144|0]
8,2026-01-31 19:26:06,[111110|0]
9,2026-01-31 19:26:06,[111162|0]
10,2026-01-31 19:26:06,[111215|0]
11,2026-01-31 19:26:06,[111237|0]
12,2026-01-31 19:26:06,[111230|0]
13,2026-01-31 19:26:06,[111185|0]
14,2026-01-31 19:26:06,[111155|0]
15,2026-01-31 19:26:06,[111192|0]
16,2026-01-31 19:26:06,[111192|0]
17,2026-01-31 19:26:06,[111257|0]
18,2026-01-31 19:26:06,[111325|0]
19,2026-01-31 19:26:06,[111402|0]
20,2026-01-31 19:26:06,[111440|0]
21,2026-01-31 19:26:06,[111465|0]
22,2026-01-31 19:26:06,[111513|0]
23,2026-01-31 19:26:06,[111550|0]
24,2026-01-31 19:26:06,[111596|0]
25,2026-01-31 19:26:06,[111642|0]
26,2026-01-31 19:26:07,[111692|0]
27,2026-01-31 19:26:07,[111733|0]
28,2026-01-31 19:26:07,[111806|0]
29,2026-01-31 19:26:07,[111867|0]
30,2026-01-31 19:26:07,[111890|0]
31,2026-01-31 19:26:07,[111631|0]
32,2026-01-31 19:26:07,[111230|0]
33,2026-01-31 19:26:07,[111014|0]
34,2026-01-31 19:26:07,[111031|0]
35,2026-01-31 19:26:07,[111104|0]
36,2026-01-31 19:26:07,[111173|0]
37,2026-01-31 19:26:07,[111203|0]
38,2026-01-31 19:26:07,[111159|0]
39,2026-01-31 19:26:07,[111080|0]
40,2026-01-31 19:26:07,[111095|0]
41,2026-01-31 19:26:07,[111127|0]
42,2026-01-31 19:26:07,[111195|0]
43,2026-01-31 19:26:07,[111262|0]
44,2026-01-31 19:26:07,[111320|0]
45,2026-01-31 19:26:07,[111334|0]
46,2026-01-31 19:26:07,[111393|0]
47,2026-01-31 19:26:07,[111428|0]
48,2026-01-31 19:26:07,[111475|0]
49,2026-01-31 19:26:07,[111496|0]
50,2026-01-31 19:26:07,[111550|0]
51,2026-01-31 19:26:08,[111579|0]
52,2026-01-31 19:26:08,[111652|0]
53,2026-01-31 19:26:08,[111711|0]
54,2026-01-31 19:26:08,[111760|0]
55,2026-01-31 19:26:08,[111546|0]
56,2026-01-31 19:26:08,[111135|0]
57,2026-01-31 19:26:08,[110852|0]
58,2026-01-31 19:26:08,[110829|0]
59,2026-01-31 19:26:08,[110862|0]
60,2026-01-31 19:26:08,[110896|0]
61,2026-01-31 19:26:08,[110922|0]
62,2026-01-31 19:26:08,[110903|0]
63,2026-01-31 19:26:08,[110830|0]
64,2026-01-31 19:26:08,[110830|0]
65,2026-01-31 19:26:08,[110854|0]
66,2026-01-31 19:26:08,[110910|0]
67,2026-01-31 19:26:08,[110972|0]
68,2026-01-31 19:26:08,[111022|0]
69,2026-01-31 19:26:08,[111039|0]
70,2026-01-31 19:26:08,[111105|0]
71,2026-01-31 19:26:08,[111131|0]
72,2026-01-31 19:26:08,[111175|0]
73,2026-01-31 19:26:08,[111222|0]
74,2026-01-31 19:26:08,[111264|0]
