Packet_Number,Timestamp,Data
1,2026-01-31 19:26:06,[110756|0]
2,2026-01-31 19:26:06,[110769|0]
3,2026-01-31 19:26:06,[110805|0]
4,2026-01-31 19:26:06,[110829|0]
5,2026-01-31 19:26:06,[110718|0]
6,2026-01-31 19:26:06,[110560|0]
7,2026-01-31 19:26:06,[110474|0]
8,2026-01-31 19:26:06,[110461|0]
9,2026-01-31 19:26:06,[110488|0]
10,2026-01-31 19:26:06,[110509|0]
11,2026-01-31 19:26:06,[110530|0]
12,2026-01-31 19:26:06,[110521|0]
13,2026-01-31 19:26:06,[110497|0]
14,2026-01-31 19:26:06,[110488|0]
15,2026-01-31 19:26:06,[110495|0]
16,2026-01-31 19:26:06,[110495|0]
17,2026-01-31 19:26:06,[110527|0]
18,2026-01-31 19:26:06,[110561|0]
19,2026-01-31 19:26:06,[110588|0]
20,2026-01-31 19:26:06,[110604|0]
21,2026-01-31 19:26:06,[110604|0]
22,2026-01-31 19:26:06,[110639|0]
23,2026-01-31 19:26:06,[110648|0]
24,2026-01-31 19:26:06,[110676|0]
25,2026-01-31 19:26:06,[110691|0]
26,2026-01-31 19:26:07,[110721|0]
27,2026-01-31 19:26:07,[110723|0]
28,2026-01-31 19:26:07,[110763|0]
29,2026-01-31 19:26:07,[110779|0]
30,2026-01-31 19:26:07,[110806|0]
31,2026-01-31 19:26:07,[110686|0]
32,2026-01-31 19:26:07,[110519|0]
33,2026-01-31 19:26:07,[110419|0]
34,2026-01-31 19:26:07,[110446|0]
35,2026-01-31 19:26:07,[110481|0]
36,2026-01-31 19:26:07,[110508|0]
37,2026-01-31 19:26:07,[110521|0]
38,2026-01-31 19:26:07,[110497|0]
39,2026-01-31 19:26:07,[110449|0]
40,2026-01-31 19:26:07,[110468|0]
41,2026-01-31 19:26:07,[110496|0]
42,2026-01-31 19:26:07,[110519|0]
43,2026-01-31 19:26:07,[110548|0]
44,2026-01-31 19:26:07,[110567|0]
45,2026-01-31 19:26:07,[110568|0]
46,2026-01-31 19:26:07,[110596|0]
47,2026-01-31 19:26:07,[110605|0]
48,2026-01-31 19:26:07,[110617|0]
49,2026-01-31 19:26:07,[110635|0]
50,2026-01-31 19:26:07,[110670|0]
51,2026-01-31 19:26:08,[110661|0]
52,2026-01-31 19:26:08,[110707|0]
53,2026-01-31 19:26:08,[110736|0]
54,2026-01-31 19:26:08,[110745|0]
55,2026-01-31 19:26:08,[110663|0]
56,2026-01-31 19:26:08,[110489|0]
57,2026-01-31 19:26:08,[110369|0]
58,2026-01-31 19:26:08,[110360|0]
59,2026-01-31 19:26:08,[110380|0]
60,2026-01-31 19:26:08,[110399|0]
61,2026-01-31 19:26:08,[110401|0]
62,2026-01-31 19:26:08,[110403|0]
63,2026-01-31 19:26:08,[110352|0]
64,2026-01-31 19:26:08,[110364|0]
65,2026-01-31 19:26:08,[110371|0]
66,2026-01-31 19:26:08,[110401|0]
67,2026-01-31 19:26:08,[110426|0]
68,2026-01-31 19:26:08,[110451|0]
69,2026-01-31 19:26:08,[110437|0]
70,2026-01-31 19:26:08,[110480|0]
71,2026-01-31 19:26:08,[110498|0]
72,2026-01-31 19:26:08,[110511|0]
73,2026-01-31 19:26:08,[110526|0]
74,2026-01-31 19:26:08,[110554|0]
75,2026-01-31 19:26:09,[110552|0]
76,2026-01-31 19:26:09,[110591|0]
77,2026-01-31 19:26:09,[110607|0]
78,2026-01-31 19:26:09,[110630|0]
79,2026-01-31 19:26:09,[110653|0]
80,2026-01-31 19:26:09,[110631|0]
81,2026-01-31 19:26:09,[110453|0]
82,2026-01-31 19:26:09,[110337|0]
83,2026-01-31 19:26:09,[110290|0]
84,2026-01-31 19:26:09,[110296|0]
85,2026-01-31 19:26:09,[110318|0]
86,2026-01-31 19:26:09,[110323|0]
87,2026-01-31 19:26:09,[110307|0]
88,2026-01-31 19:26:09,[110295|0]
89,2026-01-31 19:26:09,[110283|0]
90,2026-01-31 19:26:09,[110297|0]
91,2026-01-31 19:26:09,[110305|0]
92,2026-01-31 19:26:09,[110336|0]
