Packet_Number,Timestamp,Battery_V,Battery_Pct,Temp,Leads
1,2026-01-31 19:26:06,3.63,7.2,35.19,0
2,2026-01-31 19:26:06,3.63,7.2,35.19,0
3,2026-01-31 19:26:06,3.63,7.2,35.19,0
4,2026-01-31 19:26:06,3.63,7.2,35.19,0
5,2026-01-31 19:26:06,3.63,7.2,35.19,0
6,2026-01-31 19:26:06,3.61,7.2,35.19,0
7,2026-01-31 19:26:06,3.61,7.2,35.19,0
8,2026-01-31 19:26:06,3.61,7.2,35.19,0
9,2026-01-31 19:26:06,3.61,7.2,35.19,0
10,2026-01-31 19:26:06,3.61,7.2,35.19,0
11,2026-01-31 19:26:06,3.61,7.2,35.19,0
12,2026-01-31 19:26:06,3.64,7.2,35.25,0
13,2026-01-31 19:26:06,3.64,7.2,35.25,0
14,2026-01-31 19:26:06,3.64,7.2,35.25,0
15,2026-01-31 19:26:06,3.64,7.2,35.25,0
16,2026-01-31 19:26:06,3.64,7.2,35.25,0
17,2026-01-31 19:26:06,3.64,7.2,35.25,0
18,2026-01-31 19:26:06,3.64,7.2,35.50,0
19,2026-01-31 19:26:06,3.64,7.2,35.50,0
20,2026-01-31 19:26:06,3.64,7.2,35.50,0
21,2026-01-31 19:26:06,3.64,7.2,35.50,0
22,2026-01-31 19:26:06,3.64,7.2,35.50,0
23,2026-01-31 19:26:06,3.64,7.2,35.50,0
24,2026-01-31 19:26:06,3.64,7.2,35.25,0
25,2026-01-31 19:26:06,3.64,7.2,35.25,0
26,2026-01-31 19:26:07,3.64,7.2,35.25,0
27,2026-01-31 19:26:07,3.64,7.2,35.25,0
28,2026-01-31 19:26:07,3.64,7.2,35.25,0
29,2026-01-31 19:26:07,3.64,7.2,35.25,0
30,2026-01-31 19:26:07,3.64,7.2,35.31,0
31,2026-01-31 19:26:07,3.63,7.2,35.31,0
32,2026-01-31 19:26:07,3.63,7.2,35.31,0
33,2026-01-31 19:26:07,3.63,7.2,35.31,0
34,2026-01-31 19:26:07,3.63,7.2,35.31,0
35,2026-01-31 19:26:07,3.63,7.2,35.31,0
36,2026-01-31 19:26:07,3.63,7.2,35.38,0
37,2026-01-31 19:26:07,3.64,7.2,35.38,0
38,2026-01-31 19:26:07,3.64,7.2,35.38,0
39,2026-01-31 19:26:07,3.64,7.2,35.38,0
40,2026-01-31 19:26:07,3.64,7.2,35.38,0
41,2026-01-31 19:26:07,3.64,7.2,35.38,0
42,2026-01-31 19:26:07,3.64,7.2,35.38,0
43,2026-01-31 19:26:07,3.63,7.2,35.38,0
44,2026-01-31 19:26:07,3.63,7.2,35.38,0
45,2026-01-31 19:26:07,3.63,7.2,35.38,0
46,2026-01-31 19:26:07,3.63,7.2,35.38,0
47,2026-01-31 19:26:07,3.63,7.2,35.38,0
48,2026-01-31 19:26:07,3.63,7.2,35.38,0
