Packet_Number,Timestamp,Data
1,2026-02-27 04:53:30,[-134.7985347985348|-115.01831501831502|-142.12454212454213|-134.06593406593407|-156.04395604395606]
2,2026-02-27 04:53:30,[-129.67032967032966|-100.36630036630036|-124.54212454212454|-95.97069597069597|-103.2967032967033]
3,2026-02-27 04:53:30,[-79.12087912087912|-63.73626373626374|-71.06227106227107|-47.61904761904762|-73.99267399267399]
4,2026-02-27 04:53:30,[-107.6923076923077|-101.83150183150182|-126.73992673992674|-120.14652014652015|-135.53113553113553]
5,2026-02-27 04:53:30,[-113.55311355311355|-85.71428571428571|-118.68131868131869|-78.3882783882784|60.8058608058608]
6,2026-02-27 04:53:30,[482.7838827838828|1401.4652014652015|1499.6336996336997|441.75824175824175|-415.38461538461536]
7,2026-02-27 04:53:30,[-544.3223443223443|-263.003663003663|-131.13553113553112|-52.747252747252745|-63.73626373626374]
8,2026-02-27 04:53:30,[-50.54945054945055|-13.91941391941392|-29.304029304029303|4.395604395604396|-1.465201465201465]
9,2026-02-27 04:53:30,[12.454212454212454|-5.128205128205129|7.326007326007326|57.875457875457876|62.27106227106227]
10,2026-02-27 04:53:30,[73.99267399267399|109.15750915750915|103.2967032967033|121.6117216117216|122.34432234432235]
11,2026-02-27 04:53:30,[181.6849816849817|242.49084249084248|255.67765567765568|326.007326007326|359.7069597069597]
12,2026-02-27 04:53:30,[397.8021978021978|446.15384615384613|465.9340659340659|515.018315018315|509.15750915750914]
13,2026-02-27 04:53:30,[491.57509157509156|466.6666666666667|367.032967032967|259.34065934065933|115.75091575091575]
14,2026-02-27 04:53:30,[13.91941391941392|-79.12087912087912|-201.46520146520146|-254.21245421245422|-314.2857142857143]
15,2026-02-27 04:53:30,[-357.5091575091575|-387.54578754578756|-415.38461538461536|-394.87179487179486|-400.73260073260076]
16,2026-02-27 04:53:30,[-399.26739926739924|-378.75457875457874|-395.6043956043956|-386.8131868131868|-394.87179487179486]
17,2026-02-27 04:53:30,[-356.7765567765568|-325.27472527472526|-346.5201465201465|-317.2161172161172|-324.54212454212455]
18,2026-02-27 04:53:30,[-315.01831501831504|-320.1465201465202|-326.007326007326|-296.7032967032967|-312.8205128205128]
19,2026-02-27 04:53:30,[-308.42490842490844|-287.9120879120879|-319.4139194139194|-317.2161172161172|-333.3333333333333]
20,2026-02-27 04:53:30,[-321.61172161172163|-301.0989010989011|-321.61172161172163|-296.7032967032967|-303.2967032967033]
21,2026-02-27 04:53:30,[-300.3663003663004|-320.1465201465202|-317.2161172161172|-273.992673992674|-276.1904761904762]
