Packet_Number,Timestamp,Data
1,2026-02-27 04:53:30,[107838|0]
2,2026-02-27 04:53:30,[107870|0]
3,2026-02-27 04:53:30,[107867|0]
4,2026-02-27 04:53:30,[107914|0]
5,2026-02-27 04:53:30,[107940|0]
6,2026-02-27 04:53:30,[107975|0]
7,2026-02-27 04:53:30,[108013|0]
8,2026-02-27 04:53:30,[108042|0]
9,2026-02-27 04:53:30,[108058|0]
10,2026-02-27 04:53:30,[108109|0]
11,2026-02-27 04:53:30,[108146|0]
12,2026-02-27 04:53:30,[108172|0]
13,2026-02-27 04:53:30,[108005|0]
14,2026-02-27 04:53:30,[107732|0]
15,2026-02-27 04:53:30,[107597|0]
16,2026-02-27 04:53:30,[107639|0]
17,2026-02-27 04:53:30,[107690|0]
18,2026-02-27 04:53:30,[107694|0]
19,2026-02-27 04:53:30,[107700|0]
20,2026-02-27 04:53:30,[107718|0]
21,2026-02-27 04:53:30,[107659|0]
22,2026-02-27 04:53:30,[107669|0]
23,2026-02-27 04:53:30,[107680|0]
24,2026-02-27 04:53:31,[107730|0]
25,2026-02-27 04:53:31,[107769|0]
26,2026-02-27 04:53:31,[107799|0]
27,2026-02-27 04:53:31,[107817|0]
28,2026-02-27 04:53:31,[107847|0]
29,2026-02-27 04:53:31,[107863|0]
30,2026-02-27 04:53:31,[107884|0]
31,2026-02-27 04:53:31,[107917|0]
32,2026-02-27 04:53:31,[107941|0]
33,2026-02-27 04:53:31,[107975|0]
34,2026-02-27 04:53:31,[108014|0]
35,2026-02-27 04:53:31,[108042|0]
36,2026-02-27 04:53:31,[108083|0]
37,2026-02-27 04:53:31,[108112|0]
38,2026-02-27 04:53:31,[107930|0]
39,2026-02-27 04:53:31,[107601|0]
40,2026-02-27 04:53:31,[107432|0]
41,2026-02-27 04:53:31,[107402|0]
42,2026-02-27 04:53:31,[107432|0]
43,2026-02-27 04:53:31,[107418|0]
44,2026-02-27 04:53:31,[107386|0]
45,2026-02-27 04:53:31,[107387|0]
46,2026-02-27 04:53:31,[107380|0]
47,2026-02-27 04:53:31,[107359|0]
48,2026-02-27 04:53:31,[107357|0]
49,2026-02-27 04:53:32,[107397|0]
50,2026-02-27 04:53:32,[107409|0]
51,2026-02-27 04:53:32,[107458|0]
52,2026-02-27 04:53:32,[107471|0]
53,2026-02-27 04:53:32,[107512|0]
54,2026-02-27 04:53:32,[107529|0]
55,2026-02-27 04:53:32,[107551|0]
56,2026-02-27 04:53:32,[107572|0]
57,2026-02-27 04:53:32,[107612|0]
58,2026-02-27 04:53:32,[107655|0]
59,2026-02-27 04:53:32,[107691|0]
60,2026-02-27 04:53:32,[107731|0]
61,2026-02-27 04:53:32,[107767|0]
62,2026-02-27 04:53:32,[107791|0]
63,2026-02-27 04:53:32,[107831|0]
64,2026-02-27 04:53:32,[107649|0]
65,2026-02-27 04:53:32,[107308|0]
66,2026-02-27 04:53:32,[107103|0]
67,2026-02-27 04:53:32,[107069|0]
68,2026-02-27 04:53:32,[107077|0]
69,2026-02-27 04:53:32,[107072|0]
70,2026-02-27 04:53:32,[107062|0]
71,2026-02-27 04:53:32,[107078|0]
72,2026-02-27 04:53:32,[107057|0]
73,2026-02-27 04:53:32,[107057|0]
74,2026-02-27 04:53:33,[107040|0]
75,2026-02-27 04:53:33,[107017|0]
76,2026-02-27 04:53:33,[107050|0]
77,2026-02-27 04:53:33,[107113|0]
78,2026-02-27 04:53:33,[107157|0]
79,2026-02-27 04:53:33,[107186|0]
80,2026-02-27 04:53:33,[107223|0]
81,2026-02-27 04:53:33,[107239|0]
82,2026-02-27 04:53:33,[107273|0]
