Packet_Number,Timestamp,Data
1,2026-02-27 04:53:30,[105852|0]
2,2026-02-27 04:53:30,[105863|0]
3,2026-02-27 04:53:30,[105862|0]
4,2026-02-27 04:53:30,[105865|0]
5,2026-02-27 04:53:30,[105876|0]
6,2026-02-27 04:53:30,[105904|0]
7,2026-02-27 04:53:30,[105913|0]
8,2026-02-27 04:53:30,[105921|0]
9,2026-02-27 04:53:30,[105926|0]
10,2026-02-27 04:53:30,[105952|0]
11,2026-02-27 04:53:30,[105968|0]
12,2026-02-27 04:53:30,[105977|0]
13,2026-02-27 04:53:30,[105890|0]
14,2026-02-27 04:53:30,[105765|0]
15,2026-02-27 04:53:30,[105685|0]
16,2026-02-27 04:53:30,[105725|0]
17,2026-02-27 04:53:30,[105748|0]
18,2026-02-27 04:53:30,[105748|0]
19,2026-02-27 04:53:30,[105763|0]
20,2026-02-27 04:53:30,[105747|0]
21,2026-02-27 04:53:30,[105712|0]
22,2026-02-27 04:53:30,[105724|0]
23,2026-02-27 04:53:30,[105737|0]
24,2026-02-27 04:53:31,[105754|0]
25,2026-02-27 04:53:31,[105772|0]
26,2026-02-27 04:53:31,[105786|0]
27,2026-02-27 04:53:31,[105779|0]
28,2026-02-27 04:53:31,[105799|0]
29,2026-02-27 04:53:31,[105809|0]
30,2026-02-27 04:53:31,[105820|0]
31,2026-02-27 04:53:31,[105825|0]
32,2026-02-27 04:53:31,[105826|0]
33,2026-02-27 04:53:31,[105843|0]
34,2026-02-27 04:53:31,[105871|0]
35,2026-02-27 04:53:31,[105876|0]
36,2026-02-27 04:53:31,[105891|0]
37,2026-02-27 04:53:31,[105909|0]
38,2026-02-27 04:53:31,[105813|0]
39,2026-02-27 04:53:31,[105650|0]
40,2026-02-27 04:53:31,[105592|0]
41,2026-02-27 04:53:31,[105592|0]
42,2026-02-27 04:53:31,[105605|0]
43,2026-02-27 04:53:31,[105591|0]
44,2026-02-27 04:53:31,[105580|0]
45,2026-02-27 04:53:31,[105585|0]
46,2026-02-27 04:53:31,[105575|0]
47,2026-02-27 04:53:31,[105574|0]
48,2026-02-27 04:53:31,[105567|0]
49,2026-02-27 04:53:32,[105580|0]
50,2026-02-27 04:53:32,[105580|0]
51,2026-02-27 04:53:32,[105609|0]
52,2026-02-27 04:53:32,[105627|0]
53,2026-02-27 04:53:32,[105627|0]
54,2026-02-27 04:53:32,[105637|0]
55,2026-02-27 04:53:32,[105653|0]
56,2026-02-27 04:53:32,[105652|0]
57,2026-02-27 04:53:32,[105670|0]
58,2026-02-27 04:53:32,[105687|0]
59,2026-02-27 04:53:32,[105709|0]
60,2026-02-27 04:53:32,[105733|0]
61,2026-02-27 04:53:32,[105728|0]
62,2026-02-27 04:53:32,[105740|0]
63,2026-02-27 04:53:32,[105766|0]
64,2026-02-27 04:53:32,[105672|0]
65,2026-02-27 04:53:32,[105518|0]
66,2026-02-27 04:53:32,[105435|0]
67,2026-02-27 04:53:32,[105427|0]
68,2026-02-27 04:53:32,[105426|0]
69,2026-02-27 04:53:32,[105426|0]
70,2026-02-27 04:53:32,[105418|0]
71,2026-02-27 04:53:32,[105438|0]
72,2026-02-27 04:53:32,[105420|0]
73,2026-02-27 04:53:32,[105420|0]
74,2026-02-27 04:53:33,[105421|0]
75,2026-02-27 04:53:33,[105410|0]
76,2026-02-27 04:53:33,[105424|0]
77,2026-02-27 04:53:33,[105448|0]
78,2026-02-27 04:53:33,[105468|0]
79,2026-02-27 04:53:33,[105492|0]
80,2026-02-27 04:53:33,[105513|0]
81,2026-02-27 04:53:33,[105504|0]
82,2026-02-27 04:53:33,[105518|0]
83,2026-02-27 04:53:33,[105537|0]
84,2026-02-27 04:53:33,[105560|0]
85,2026-02-27 04:53:33,[105586|0]
86,2026-02-27 04:53:33,[105607|0]
87,2026-02-27 04:53:33,[105614|0]
88,2026-02-27 04:53:33,[105637|0]
89,2026-02-27 04:53:33,[105654|0]
90,2026-02-27 04:53:33,[105674|0]
91,2026-02-27 04:53:33,[105657|0]
92,2026-02-27 04:53:33,[105509|0]
93,2026-02-27 04:53:33,[105369|0]
94,2026-02-27 04:53:33,[105344|0]
95,2026-02-27 04:53:33,[105356|0]
96,2026-02-27 04:53:33,[105375|0]
97,2026-02-27 04:53:33,[105376|0]
98,2026-02-27 04:53:33,[105382|0]
99,2026-02-27 04:53:33,[105354|0]
100,2026-02-27 04:53:34,[105361|0]
101,2026-02-27 04:53:34,[105358|0]
102,2026-02-27 04:53:34,[105364|0]
103,2026-02-27 04:53:34,[105395|0]
104,2026-02-27 04:53:34,[105416|0]
105,2026-02-27 04:53:34,[105418|0]
106,2026-02-27 04:53:34,[105449|0]
107,2026-02-27 04:53:34,[105458|0]
108,2026-02-27 04:53:34,[105469|0]
109,2026-02-27 04:53:34,[105502|0]
110,2026-02-27 04:53:34,[105509|0]
111,2026-02-27 04:53:34,[105531|0]
112,2026-02-27 04:53:34,[105552|0]
113,2026-02-27 04:53:34,[105572|0]
114,2026-02-27 04:53:34,[105598|0]
115,2026-02-27 04:53:34,[105623|0]
116,2026-02-27 04:53:34,[105631|0]
117,2026-02-27 04:53:34,[105515|0]
118,2026-02-27 04:53:34,[105362|0]
119,2026-02-27 04:53:34,[105282|0]
120,2026-02-27 04:53:34,[105289|0]
121,2026-02-27 04:53:34,[105313|0]
122,2026-02-27 04:53:34,[105306|0]
123,2026-02-27 04:53:34,[105279|0]
124,2026-02-27 04:53:35,[105310|0]
125,2026-02-27 04:53:35,[105299|0]
126,2026-02-27 04:53:35,[105289|0]
127,2026-02-27 04:53:35,[105298|0]
128,2026-02-27 04:53:35,[105316|0]
129,2026-02-27 04:53:35,[105323|0]
130,2026-02-27 04:53:35,[105353|0]
131,2026-02-27 04:53:35,[105382|0]
132,2026-02-27 04:53:35,[105401|0]
133,2026-02-27 04:53:35,[105419|0]
134,2026-02-27 04:53:35,[105420|0]
135,2026-02-27 04:53:35,[105421|0]
136,2026-02-27 04:53:35,[105457|0]
137,2026-02-27 04:53:35,[105486|0]
138,2026-02-27 04:53:35,[105517|0]
139,2026-02-27 04:53:35,[105537|0]
140,2026-02-27 04:53:35,[105544|0]
141,2026-02-27 04:53:35,[105556|0]
142,2026-02-27 04:53:35,[105584|0]
143,2026-02-27 04:53:35,[105535|0]
144,2026-02-27 04:53:35,[105364|0]
145,2026-02-27 04:53:35,[105239|0]
146,2026-02-27 04:53:35,[105205|0]
147,2026-02-27 04:53:35,[105205|0]
148,2026-02-27 04:53:35,[105222|0]
149,2026-02-27 04:53:36,[105212|0]
150,2026-02-27 04:53:36,[105220|0]
151,2026-02-27 04:53:36,[105207|0]
152,2026-02-27 04:53:36,[105188|0]
153,2026-02-27 04:53:36,[105187|0]
154,2026-02-27 04:53:36,[105208|0]
155,2026-02-27 04:53:36,[105238|0]
156,2026-02-27 04:53:36,[105250|0]
157,2026-02-27 04:53:36,[105274|0]
158,2026-02-27 04:53:36,[105281|0]
159,2026-02-27 04:53:36,[105284|0]
160,2026-02-27 04:53:36,[105314|0]
161,2026-02-27 04:53:36,[105324|0]
162,2026-02-27 04:53:36,[105351|0]
163,2026-02-27 04:53:36,[105372|0]
164,2026-02-27 04:53:36,[105383|0]
165,2026-02-27 04:53:36,[105412|0]
166,2026-02-27 04:53:36,[105451|0]
167,2026-02-27 04:53:36,[105467|0]
168,2026-02-27 04:53:36,[105475|0]
169,2026-02-27 04:53:36,[105505|0]
170,2026-02-27 04:53:36,[105447|0]
171,2026-02-27 04:53:36,[105276|0]
172,2026-02-27 04:53:36,[105151|0]
173,2026-02-27 04:53:37,[105106|0]
174,2026-02-27 04:53:37,[105134|0]
175,2026-02-27 04:53:37,[105130|0]
176,2026-02-27 04:53:37,[105124|0]
177,2026-02-27 04:53:37,[105142|0]
178,2026-02-27 04:53:37,[105134|0]
179,2026-02-27 04:53:37,[105119|0]
180,2026-02-27 04:53:37,[105114|0]
181,2026-02-27 04:53:37,[105123|0]
182,2026-02-27 04:53:37,[105136|0]
183,2026-02-27 04:53:37,[105173|0]
184,2026-02-27 04:53:37,[105201|0]
185,2026-02-27 04:53:37,[105219|0]
186,2026-02-27 04:53:37,[105237|0]
187,2026-02-27 04:53:37,[105237|0]
188,2026-02-27 04:53:37,[105252|0]
189,2026-02-27 04:53:37,[105248|0]
190,2026-02-27 04:53:37,[105279|0]
191,2026-02-27 04:53:37,[105308|0]
192,2026-02-27 04:53:37,[105325|0]
193,2026-02-27 04:53:37,[105347|0]
194,2026-02-27 04:53:37,[105387|0]
195,2026-02-27 04:53:37,[105387|0]
196,2026-02-27 04:53:37,[105399|0]
197,2026-02-27 04:53:37,[105312|0]
198,2026-02-27 04:53:37,[105139|0]
199,2026-02-27 04:53:38,[105035|0]
200,2026-02-27 04:53:38,[105033|0]
201,2026-02-27 04:53:38,[105029|0]
202,2026-02-27 04:53:38,[105046|0]
203,2026-02-27 04:53:38,[105057|0]
204,2026-02-27 04:53:38,[105069|0]
205,2026-02-27 04:53:38,[105052|0]
206,2026-02-27 04:53:38,[105048|0]
207,2026-02-27 04:53:38,[105030|0]
208,2026-02-27 04:53:38,[105074|0]
209,2026-02-27 04:53:38,[105108|0]
