Packet_Number,Timestamp,Battery_V,Battery_Pct,Temp,Leads
1,2026-02-27 04:53:30,3.72,37.2,33.94,0
2,2026-02-27 04:53:30,3.76,37.2,33.94,0
3,2026-02-27 04:53:30,3.76,37.2,33.94,0
4,2026-02-27 04:53:30,3.76,37.2,33.94,0
5,2026-02-27 04:53:30,3.76,37.2,33.94,0
6,2026-02-27 04:53:30,3.76,37.2,33.88,0
7,2026-02-27 04:53:30,3.76,37.2,33.88,0
8,2026-02-27 04:53:30,3.76,37.2,33.88,0
9,2026-02-27 04:53:30,3.76,37.2,33.88,0
10,2026-02-27 04:53:30,3.76,37.2,33.88,0
11,2026-02-27 04:53:30,3.76,37.2,33.88,0
12,2026-02-27 04:53:30,3.76,37.2,33.88,0
13,2026-02-27 04:53:30,3.76,37.2,33.88,0
14,2026-02-27 04:53:30,3.76,37.2,33.88,0
15,2026-02-27 04:53:30,3.76,37.2,33.88,0
16,2026-02-27 04:53:30,3.76,37.2,33.88,0
17,2026-02-27 04:53:30,3.76,37.2,33.88,0
18,2026-02-27 04:53:30,3.76,37.2,34.06,0
19,2026-02-27 04:53:30,3.76,37.2,34.06,0
20,2026-02-27 04:53:30,3.76,37.2,34.06,0
21,2026-02-27 04:53:30,3.76,37.2,34.06,0
22,2026-02-27 04:53:30,3.76,37.2,34.06,0
23,2026-02-27 04:53:30,3.76,37.2,34.06,0
24,2026-02-27 04:53:31,3.76,37.2,33.81,0
25,2026-02-27 04:53:31,3.76,37.2,33.81,0
26,2026-02-27 04:53:31,3.76,37.2,33.81,0
27,2026-02-27 04:53:31,3.76,37.2,33.81,0
28,2026-02-27 04:53:31,3.76,37.2,33.81,0
29,2026-02-27 04:53:31,3.76,37.2,33.81,0
30,2026-02-27 04:53:31,3.76,37.2,34.06,0
31,2026-02-27 04:53:31,3.76,37.2,34.06,0
32,2026-02-27 04:53:31,3.76,37.2,34.06,0
33,2026-02-27 04:53:31,3.75,37.2,34.06,0
34,2026-02-27 04:53:31,3.75,37.2,34.06,0
35,2026-02-27 04:53:31,3.75,37.2,34.06,0
36,2026-02-27 04:53:31,3.75,37.2,33.94,0
37,2026-02-27 04:53:31,3.75,37.2,33.94,0
38,2026-02-27 04:53:31,3.75,37.2,33.94,0
39,2026-02-27 04:53:31,3.76,37.2,33.94,0
