Packet_Number,Timestamp,Data
1,2026-02-26 22:17:12,[-169.23076923076923|-117.94871794871794|-18.315018315018314|-136.996336996337|73.26007326007326]
2,2026-02-26 22:17:12,[-110.62271062271063|-76.92307692307692|-73.26007326007326|-224.9084249084249|32.967032967032964]
3,2026-02-26 22:17:12,[-178.75457875457874|-131.13553113553112|-60.07326007326007|-223.44322344322345|12.454212454212454]
4,2026-02-26 22:17:12,[-47.61904761904762|428.57142857142856|1499.6336996336997|1499.6336996336997|682.0512820512821]
5,2026-02-26 22:17:12,[-692.3076923076923|-780.2197802197802|-418.31501831501834|-336.996336996337|-6.593406593406593]
6,2026-02-26 22:17:12,[-181.6849816849817|-112.08791208791209|-14.652014652014651|-161.17216117216117|76.92307692307692]
7,2026-02-26 22:17:12,[-112.08791208791209|-29.304029304029303|68.13186813186813|-108.42490842490842|123.07692307692308]
8,2026-02-26 22:17:12,[-58.608058608058606|31.501831501831504|126.73992673992674|-17.582417582417584|238.0952380952381]
9,2026-02-26 22:17:12,[97.43589743589743|204.3956043956044|318.68131868131866|206.5934065934066|496.7032967032967]
10,2026-02-26 22:17:12,[343.5897435897436|454.2124542124542|542.1245421245421|405.12820512820514|630.7692307692307]
11,2026-02-26 22:17:12,[389.010989010989|396.3369963369963|343.5897435897436|67.3992673992674|150.1831501831502]
12,2026-02-26 22:17:12,[-152.38095238095238|-158.24175824175825|-160.43956043956044|-353.84615384615387|-148.71794871794873]
13,2026-02-26 22:17:12,[-381.68498168498166|-311.35531135531136|-249.8168498168498|-409.5238095238095|-205.86080586080587]
14,2026-02-26 22:17:12,[-379.4871794871795|-293.7728937728938|-219.04761904761904|-378.75457875457874|-156.04395604395606]
15,2026-02-26 22:17:12,[-359.7069597069597|-277.65567765567766|-192.67399267399267|-346.5201465201465|-85.71428571428571]
16,2026-02-26 22:17:12,[-306.2271062271062|-240.2930402930403|-173.62637362637363|-330.4029304029304|-120.87912087912088]
17,2026-02-26 22:17:12,[-328.93772893772893|-241.02564102564102|-214.65201465201466|-381.68498168498166|-124.54212454212454]
18,2026-02-26 22:17:12,[-323.8095238095238|-261.53846153846155|-237.36263736263737|-370.6959706959707|-154.57875457875457]
19,2026-02-26 22:17:12,[-347.25274725274727|-249.8168498168498|-180.95238095238096|-346.5201465201465|-145.78754578754578]
20,2026-02-26 22:17:12,[-311.35531135531136|-230.76923076923077|-205.86080586080587|-323.0769230769231|-145.05494505494505]
21,2026-02-26 22:17:12,[-299.6336996336996|-223.44322344322345|-180.95238095238096|-302.56410256410254|-102.56410256410257]
22,2026-02-26 22:17:13,[-264.46886446886447|-189.74358974358975|-172.16117216117217|-261.53846153846155|-56.41025641025641]
23,2026-02-26 22:17:13,[-221.24542124542126|-145.78754578754578|-71.7948717948718|-161.17216117216117|10.989010989010989]
24,2026-02-26 22:17:13,[-195.6043956043956|-131.13553113553112|-126.00732600732601|-238.0952380952381|-59.34065934065934]
25,2026-02-26 22:17:13,[-246.8864468864469|-152.38095238095238|-118.68131868131869|-247.61904761904762|41.02564102564103]
26,2026-02-26 22:17:13,[208.7912087912088|1369.2307692307693|1499.6336996336997|920.8791208791209|-378.75457875457874]
27,2026-02-26 22:17:13,[-852.014652014652|-424.1758241758242|-131.13553113553112|-225.64102564102564|-30.76923076923077]
28,2026-02-26 22:17:13,[-211.7216117216117|-109.15750915750915|-50.54945054945055|-183.88278388278388|56.41025641025641]
29,2026-02-26 22:17:13,[-123.07692307692308|-49.08424908424909|27.106227106227106|-106.95970695970696|123.80952380952381]
30,2026-02-26 22:17:13,[-58.608058608058606|52.014652014652015|138.46153846153845|15.384615384615385|257.14285714285717]
31,2026-02-26 22:17:13,[76.92307692307692|227.83882783882783|326.7399267399267|249.8168498168498|512.0879120879121]
32,2026-02-26 22:17:13,[367.032967032967|488.64468864468864|535.5311355311355|384.61538461538464|556.0439560439561]
33,2026-02-26 22:17:13,[268.86446886446885|264.46886446886447|191.94139194139194|-74.72527472527473|17.582417582417584]
34,2026-02-26 22:17:13,[-268.86446886446885|-252.74725274725276|-253.4798534798535|-416.8498168498169|-216.11721611721612]
35,2026-02-26 22:17:13,[-442.4908424908425|-355.3113553113553|-301.0989010989011|-439.56043956043953|-197.8021978021978]
36,2026-02-26 22:17:13,[-386.8131868131868|-276.9230769230769|-243.2234432234432|-359.7069597069597|-137.72893772893772]
37,2026-02-26 22:17:13,[-356.7765567765568|-254.21245421245422|-205.12820512820514|-343.5897435897436|-134.7985347985348]
38,2026-02-26 22:17:13,[-331.86813186813185|-228.57142857142858|-191.2087912087912|-333.3333333333333|-120.14652014652015]
39,2026-02-26 22:17:13,[-331.86813186813185|-224.9084249084249|-207.32600732600733|-349.45054945054943|-136.996336996337]
40,2026-02-26 22:17:13,[-334.7985347985348|-237.36263736263737|-193.4065934065934|-330.4029304029304|-99.63369963369964]
41,2026-02-26 22:17:13,[-326.007326007326|-235.16483516483515|-200.0|-333.3333333333333|-115.01831501831502]
42,2026-02-26 22:17:13,[-317.2161172161172|-220.51282051282053|-179.48717948717947|-299.6336996336996|-87.17948717948718]
43,2026-02-26 22:17:13,[-289.3772893772894|-191.94139194139194|-154.57875457875457|-296.7032967032967|-59.34065934065934]
44,2026-02-26 22:17:13,[-261.53846153846155|-161.9047619047619|-103.2967032967033|-176.55677655677655|34.43223443223443]
45,2026-02-26 22:17:13,[-194.13919413919413|-115.01831501831502|-135.53113553113553|-271.06227106227107|-52.747252747252745]
46,2026-02-26 22:17:13,[-268.86446886446885|-156.04395604395606|-115.01831501831502|-261.53846153846155|-28.571428571428573]
47,2026-02-26 22:17:14,[-18.315018315018314|794.8717948717949|1499.6336996336997|1499.6336996336997|134.7985347985348]
48,2026-02-26 22:17:14,[-899.6336996336996|-569.2307692307693|-224.9084249084249|-235.89743589743588|-16.117216117216117]
49,2026-02-26 22:17:14,[-223.44322344322345|-87.17948717948718|-31.501831501831504|-176.55677655677655|40.29304029304029]
50,2026-02-26 22:17:14,[-156.7765567765568|-38.827838827838825|-3.663003663003663|-112.08791208791209|132.6007326007326]
51,2026-02-26 22:17:14,[-65.93406593406593|49.81684981684982|112.08791208791209|8.058608058608058|252.74725274725276]
52,2026-02-26 22:17:14,[67.3992673992674|213.91941391941393|295.23809523809524|233.6996336996337|514.2857142857143]
53,2026-02-26 22:17:14,[343.5897435897436|483.5164835164835|531.8681318681319|404.3956043956044|613.1868131868132]
54,2026-02-26 22:17:14,[331.86813186813185|353.84615384615387|249.8168498168498|-12.454212454212454|79.12087912087912]
55,2026-02-26 22:17:14,[-242.49084249084248|-193.4065934065934|-213.91941391941393|-382.4175824175824|-192.67399267399267]
56,2026-02-26 22:17:14,[-422.7106227106227|-310.6227106227106|-287.1794871794872|-403.6630036630037|-194.13919413919413]
57,2026-02-26 22:17:14,[-405.86080586080584|-284.98168498168496|-261.53846153846155|-367.032967032967|-142.85714285714286]
58,2026-02-26 22:17:14,[-356.04395604395603|-255.67765567765568|-243.95604395604394|-345.05494505494505|-136.26373626373626]
59,2026-02-26 22:17:14,[-355.3113553113553|-236.63003663003664|-223.44322344322345|-335.53113553113553|-113.55311355311355]
60,2026-02-26 22:17:14,[-349.45054945054943|-236.63003663003664|-235.89743589743588|-349.45054945054943|-129.67032967032966]
61,2026-02-26 22:17:14,[-347.25274725274727|-217.58241758241758|-205.12820512820514|-325.27472527472526|-115.75091575091575]
62,2026-02-26 22:17:14,[-336.996336996337|-207.32600732600733|-200.0|-303.2967032967033|-101.83150183150182]
63,2026-02-26 22:17:14,[-313.5531135531136|-197.06959706959708|-178.02197802197801|-290.84249084249086|-62.27106227106227]
64,2026-02-26 22:17:14,[-296.7032967032967|-167.76556776556777|-122.34432234432235|-216.84981684981685|-6.593406593406593]
65,2026-02-26 22:17:14,[-259.34065934065933|-169.23076923076923|-182.41758241758242|-300.3663003663004|-87.91208791208791]
66,2026-02-26 22:17:14,[-303.2967032967033|-167.76556776556777|-146.5201465201465|-265.9340659340659|19.78021978021978]
67,2026-02-26 22:17:14,[106.95970695970696|1133.3333333333333|1499.6336996336997|936.996336996337|-309.15750915750914]
68,2026-02-26 22:17:14,[-953.1135531135532|-548.7179487179487|-258.6080586080586|-248.35164835164835|-8.058608058608058]
