Packet_Number,Timestamp,Data
1,2026-02-26 22:18:07,[109416|0]
2,2026-02-26 22:18:07,[109448|0]
3,2026-02-26 22:18:07,[109499|0]
4,2026-02-26 22:18:07,[109501|0]
5,2026-02-26 22:18:07,[109481|0]
6,2026-02-26 22:18:07,[109496|0]
7,2026-02-26 22:18:07,[109511|0]
8,2026-02-26 22:18:07,[109554|0]
9,2026-02-26 22:18:07,[109633|0]
10,2026-02-26 22:18:07,[109684|0]
11,2026-02-26 22:18:07,[109698|0]
12,2026-02-26 22:18:07,[109723|0]
13,2026-02-26 22:18:07,[109747|0]
14,2026-02-26 22:18:07,[109777|0]
15,2026-02-26 22:18:07,[109809|0]
16,2026-02-26 22:18:07,[109836|0]
17,2026-02-26 22:18:07,[109867|0]
18,2026-02-26 22:18:07,[109877|0]
19,2026-02-26 22:18:07,[109589|0]
20,2026-02-26 22:18:07,[109410|0]
21,2026-02-26 22:18:07,[109403|0]
22,2026-02-26 22:18:07,[109497|0]
23,2026-02-26 22:18:08,[109587|0]
24,2026-02-26 22:18:08,[109663|0]
25,2026-02-26 22:18:08,[109657|0]
26,2026-02-26 22:18:08,[109608|0]
27,2026-02-26 22:18:08,[109576|0]
28,2026-02-26 22:18:08,[109597|0]
29,2026-02-26 22:18:08,[109662|0]
30,2026-02-26 22:18:08,[109705|0]
31,2026-02-26 22:18:08,[109737|0]
32,2026-02-26 22:18:08,[109775|0]
33,2026-02-26 22:18:08,[109815|0]
34,2026-02-26 22:18:08,[109828|0]
35,2026-02-26 22:18:08,[109852|0]
36,2026-02-26 22:18:08,[109852|0]
37,2026-02-26 22:18:08,[109874|0]
38,2026-02-26 22:18:08,[109892|0]
39,2026-02-26 22:18:08,[109774|0]
40,2026-02-26 22:18:08,[109534|0]
41,2026-02-26 22:18:08,[109447|0]
42,2026-02-26 22:18:08,[109524|0]
43,2026-02-26 22:18:08,[109632|0]
44,2026-02-26 22:18:08,[109657|0]
45,2026-02-26 22:18:08,[109709|0]
46,2026-02-26 22:18:08,[109688|0]
47,2026-02-26 22:18:08,[109663|0]
48,2026-02-26 22:18:09,[109673|0]
49,2026-02-26 22:18:09,[109719|0]
50,2026-02-26 22:18:09,[109761|0]
51,2026-02-26 22:18:09,[109843|0]
52,2026-02-26 22:18:09,[109893|0]
53,2026-02-26 22:18:09,[109928|0]
54,2026-02-26 22:18:09,[109955|0]
55,2026-02-26 22:18:09,[109993|0]
56,2026-02-26 22:18:09,[109980|0]
57,2026-02-26 22:18:09,[110048|0]
58,2026-02-26 22:18:09,[110100|0]
59,2026-02-26 22:18:09,[110074|0]
60,2026-02-26 22:18:09,[109785|0]
61,2026-02-26 22:18:09,[109620|0]
62,2026-02-26 22:18:09,[109616|0]
63,2026-02-26 22:18:09,[109748|0]
64,2026-02-26 22:18:09,[109813|0]
65,2026-02-26 22:18:09,[109841|0]
66,2026-02-26 22:18:09,[109859|0]
67,2026-02-26 22:18:09,[109833|0]
68,2026-02-26 22:18:09,[109797|0]
69,2026-02-26 22:18:09,[109850|0]
70,2026-02-26 22:18:09,[109921|0]
71,2026-02-26 22:18:09,[109965|0]
72,2026-02-26 22:18:09,[110012|0]
73,2026-02-26 22:18:10,[110051|0]
74,2026-02-26 22:18:10,[110056|0]
75,2026-02-26 22:18:10,[110090|0]
76,2026-02-26 22:18:10,[110120|0]
77,2026-02-26 22:18:10,[110157|0]
78,2026-02-26 22:18:10,[110214|0]
79,2026-02-26 22:18:10,[110244|0]
80,2026-02-26 22:18:10,[109998|0]
81,2026-02-26 22:18:10,[109803|0]
82,2026-02-26 22:18:10,[109773|0]
83,2026-02-26 22:18:10,[109862|0]
84,2026-02-26 22:18:10,[109926|0]
85,2026-02-26 22:18:10,[109952|0]
86,2026-02-26 22:18:10,[109932|0]
87,2026-02-26 22:18:10,[109939|0]
88,2026-02-26 22:18:10,[109928|0]
89,2026-02-26 22:18:10,[109950|0]
90,2026-02-26 22:18:10,[109990|0]
91,2026-02-26 22:18:10,[110033|0]
92,2026-02-26 22:18:10,[110045|0]
93,2026-02-26 22:18:10,[110103|0]
94,2026-02-26 22:18:10,[110130|0]
95,2026-02-26 22:18:10,[110151|0]
96,2026-02-26 22:18:10,[110164|0]
97,2026-02-26 22:18:10,[110198|0]
98,2026-02-26 22:18:11,[110199|0]
99,2026-02-26 22:18:11,[110150|0]
100,2026-02-26 22:18:11,[109915|0]
101,2026-02-26 22:18:11,[109838|0]
102,2026-02-26 22:18:11,[109860|0]
103,2026-02-26 22:18:11,[109936|0]
104,2026-02-26 22:18:11,[109953|0]
105,2026-02-26 22:18:11,[109992|0]
106,2026-02-26 22:18:11,[109971|0]
107,2026-02-26 22:18:11,[109933|0]
108,2026-02-26 22:18:11,[109940|0]
109,2026-02-26 22:18:11,[109982|0]
110,2026-02-26 22:18:11,[110006|0]
111,2026-02-26 22:18:11,[110062|0]
112,2026-02-26 22:18:11,[110089|0]
113,2026-02-26 22:18:11,[110120|0]
114,2026-02-26 22:18:11,[110135|0]
115,2026-02-26 22:18:11,[110132|0]
116,2026-02-26 22:18:11,[110145|0]
117,2026-02-26 22:18:11,[110221|0]
118,2026-02-26 22:18:11,[110202|0]
119,2026-02-26 22:18:11,[109956|0]
120,2026-02-26 22:18:11,[109753|0]
121,2026-02-26 22:18:11,[109706|0]
122,2026-02-26 22:18:11,[109764|0]
