Packet_Number,Timestamp,Data
1,2026-02-26 22:18:07,[107968|0]
2,2026-02-26 22:18:07,[107972|0]
3,2026-02-26 22:18:07,[108001|0]
4,2026-02-26 22:18:07,[108004|0]
5,2026-02-26 22:18:07,[107985|0]
6,2026-02-26 22:18:07,[107983|0]
7,2026-02-26 22:18:07,[108005|0]
8,2026-02-26 22:18:07,[108023|0]
9,2026-02-26 22:18:07,[108061|0]
10,2026-02-26 22:18:07,[108074|0]
11,2026-02-26 22:18:07,[108082|0]
12,2026-02-26 22:18:07,[108084|0]
13,2026-02-26 22:18:07,[108115|0]
14,2026-02-26 22:18:07,[108110|0]
15,2026-02-26 22:18:07,[108140|0]
16,2026-02-26 22:18:07,[108150|0]
17,2026-02-26 22:18:07,[108162|0]
18,2026-02-26 22:18:07,[108163|0]
19,2026-02-26 22:18:07,[108023|0]
20,2026-02-26 22:18:07,[107929|0]
21,2026-02-26 22:18:07,[107940|0]
22,2026-02-26 22:18:07,[107985|0]
23,2026-02-26 22:18:08,[108034|0]
24,2026-02-26 22:18:08,[108083|0]
25,2026-02-26 22:18:08,[108065|0]
26,2026-02-26 22:18:08,[108041|0]
27,2026-02-26 22:18:08,[108015|0]
28,2026-02-26 22:18:08,[108031|0]
29,2026-02-26 22:18:08,[108058|0]
30,2026-02-26 22:18:08,[108091|0]
31,2026-02-26 22:18:08,[108093|0]
32,2026-02-26 22:18:08,[108123|0]
33,2026-02-26 22:18:08,[108128|0]
34,2026-02-26 22:18:08,[108136|0]
35,2026-02-26 22:18:08,[108141|0]
36,2026-02-26 22:18:08,[108141|0]
37,2026-02-26 22:18:08,[108160|0]
38,2026-02-26 22:18:08,[108163|0]
39,2026-02-26 22:18:08,[108082|0]
40,2026-02-26 22:18:08,[107955|0]
41,2026-02-26 22:18:08,[107923|0]
42,2026-02-26 22:18:08,[107976|0]
43,2026-02-26 22:18:08,[108046|0]
44,2026-02-26 22:18:08,[108033|0]
45,2026-02-26 22:18:08,[108060|0]
46,2026-02-26 22:18:08,[108046|0]
47,2026-02-26 22:18:08,[108021|0]
48,2026-02-26 22:18:09,[108042|0]
49,2026-02-26 22:18:09,[108061|0]
50,2026-02-26 22:18:09,[108079|0]
51,2026-02-26 22:18:09,[108112|0]
52,2026-02-26 22:18:09,[108136|0]
53,2026-02-26 22:18:09,[108158|0]
54,2026-02-26 22:18:09,[108166|0]
55,2026-02-26 22:18:09,[108176|0]
56,2026-02-26 22:18:09,[108157|0]
57,2026-02-26 22:18:09,[108204|0]
58,2026-02-26 22:18:09,[108233|0]
59,2026-02-26 22:18:09,[108204|0]
60,2026-02-26 22:18:09,[108046|0]
61,2026-02-26 22:18:09,[107979|0]
62,2026-02-26 22:18:09,[107974|0]
63,2026-02-26 22:18:09,[108061|0]
64,2026-02-26 22:18:09,[108089|0]
65,2026-02-26 22:18:09,[108094|0]
66,2026-02-26 22:18:09,[108099|0]
67,2026-02-26 22:18:09,[108088|0]
68,2026-02-26 22:18:09,[108044|0]
69,2026-02-26 22:18:09,[108094|0]
70,2026-02-26 22:18:09,[108114|0]
71,2026-02-26 22:18:09,[108138|0]
72,2026-02-26 22:18:09,[108161|0]
73,2026-02-26 22:18:10,[108193|0]
74,2026-02-26 22:18:10,[108162|0]
75,2026-02-26 22:18:10,[108192|0]
76,2026-02-26 22:18:10,[108204|0]
77,2026-02-26 22:18:10,[108212|0]
78,2026-02-26 22:18:10,[108240|0]
79,2026-02-26 22:18:10,[108251|0]
80,2026-02-26 22:18:10,[108107|0]
81,2026-02-26 22:18:10,[108019|0]
82,2026-02-26 22:18:10,[108019|0]
83,2026-02-26 22:18:10,[108068|0]
84,2026-02-26 22:18:10,[108098|0]
85,2026-02-26 22:18:10,[108104|0]
86,2026-02-26 22:18:10,[108082|0]
87,2026-02-26 22:18:10,[108096|0]
88,2026-02-26 22:18:10,[108081|0]
89,2026-02-26 22:18:10,[108094|0]
90,2026-02-26 22:18:10,[108106|0]
91,2026-02-26 22:18:10,[108133|0]
92,2026-02-26 22:18:10,[108123|0]
93,2026-02-26 22:18:10,[108160|0]
94,2026-02-26 22:18:10,[108166|0]
95,2026-02-26 22:18:10,[108178|0]
96,2026-02-26 22:18:10,[108175|0]
97,2026-02-26 22:18:10,[108191|0]
98,2026-02-26 22:18:11,[108189|0]
99,2026-02-26 22:18:11,[108175|0]
100,2026-02-26 22:18:11,[108047|0]
101,2026-02-26 22:18:11,[108007|0]
102,2026-02-26 22:18:11,[108027|0]
103,2026-02-26 22:18:11,[108069|0]
104,2026-02-26 22:18:11,[108070|0]
105,2026-02-26 22:18:11,[108098|0]
106,2026-02-26 22:18:11,[108075|0]
107,2026-02-26 22:18:11,[108052|0]
108,2026-02-26 22:18:11,[108057|0]
109,2026-02-26 22:18:11,[108079|0]
110,2026-02-26 22:18:11,[108074|0]
111,2026-02-26 22:18:11,[108109|0]
112,2026-02-26 22:18:11,[108123|0]
113,2026-02-26 22:18:11,[108136|0]
114,2026-02-26 22:18:11,[108137|0]
115,2026-02-26 22:18:11,[108140|0]
116,2026-02-26 22:18:11,[108132|0]
117,2026-02-26 22:18:11,[108181|0]
118,2026-02-26 22:18:11,[108161|0]
119,2026-02-26 22:18:11,[108037|0]
120,2026-02-26 22:18:11,[107939|0]
121,2026-02-26 22:18:11,[107932|0]
122,2026-02-26 22:18:11,[107948|0]
123,2026-02-26 22:18:11,[107982|0]
124,2026-02-26 22:18:12,[107984|0]
125,2026-02-26 22:18:12,[107985|0]
126,2026-02-26 22:18:12,[107965|0]
127,2026-02-26 22:18:12,[107950|0]
128,2026-02-26 22:18:12,[107947|0]
129,2026-02-26 22:18:12,[107988|0]
130,2026-02-26 22:18:12,[108009|0]
131,2026-02-26 22:18:12,[108029|0]
132,2026-02-26 22:18:12,[108020|0]
133,2026-02-26 22:18:12,[108026|0]
134,2026-02-26 22:18:12,[108031|0]
135,2026-02-26 22:18:12,[108057|0]
136,2026-02-26 22:18:12,[108058|0]
137,2026-02-26 22:18:12,[108079|0]
138,2026-02-26 22:18:12,[108077|0]
139,2026-02-26 22:18:12,[107944|0]
140,2026-02-26 22:18:12,[107838|0]
141,2026-02-26 22:18:12,[107842|0]
142,2026-02-26 22:18:12,[107878|0]
143,2026-02-26 22:18:12,[107883|0]
144,2026-02-26 22:18:12,[107881|0]
145,2026-02-26 22:18:12,[107869|0]
146,2026-02-26 22:18:12,[107872|0]
147,2026-02-26 22:18:12,[107867|0]
148,2026-02-26 22:18:12,[107871|0]
149,2026-02-26 22:18:13,[107891|0]
150,2026-02-26 22:18:13,[107911|0]
151,2026-02-26 22:18:13,[107917|0]
152,2026-02-26 22:18:13,[107933|0]
153,2026-02-26 22:18:13,[107945|0]
154,2026-02-26 22:18:13,[107959|0]
155,2026-02-26 22:18:13,[107976|0]
156,2026-02-26 22:18:13,[107986|0]
157,2026-02-26 22:18:13,[107986|0]
158,2026-02-26 22:18:13,[108002|0]
159,2026-02-26 22:18:13,[107997|0]
160,2026-02-26 22:18:13,[107899|0]
161,2026-02-26 22:18:13,[107808|0]
162,2026-02-26 22:18:13,[107803|0]
163,2026-02-26 22:18:13,[107835|0]
164,2026-02-26 22:18:13,[107852|0]
165,2026-02-26 22:18:13,[107880|0]
166,2026-02-26 22:18:13,[107873|0]
167,2026-02-26 22:18:13,[107852|0]
168,2026-02-26 22:18:13,[107853|0]
169,2026-02-26 22:18:13,[107861|0]
170,2026-02-26 22:18:13,[107875|0]
171,2026-02-26 22:18:13,[107920|0]
172,2026-02-26 22:18:13,[107929|0]
173,2026-02-26 22:18:14,[107952|0]
174,2026-02-26 22:18:14,[107954|0]
175,2026-02-26 22:18:14,[107954|0]
176,2026-02-26 22:18:14,[107949|0]
177,2026-02-26 22:18:14,[107987|0]
178,2026-02-26 22:18:14,[108016|0]
179,2026-02-26 22:18:14,[108039|0]
180,2026-02-26 22:18:14,[107955|0]
181,2026-02-26 22:18:14,[107818|0]
182,2026-02-26 22:18:14,[107736|0]
183,2026-02-26 22:18:14,[107785|0]
184,2026-02-26 22:18:14,[107804|0]
185,2026-02-26 22:18:14,[107798|0]
186,2026-02-26 22:18:14,[107800|0]
187,2026-02-26 22:18:14,[107803|0]
188,2026-02-26 22:18:14,[107761|0]
189,2026-02-26 22:18:14,[107787|0]
190,2026-02-26 22:18:14,[107818|0]
191,2026-02-26 22:18:14,[107830|0]
192,2026-02-26 22:18:14,[107849|0]
193,2026-02-26 22:18:14,[107869|0]
194,2026-02-26 22:18:14,[107852|0]
195,2026-02-26 22:18:14,[107902|0]
196,2026-02-26 22:18:14,[107905|0]
197,2026-02-26 22:18:14,[107928|0]
198,2026-02-26 22:18:14,[107942|0]
199,2026-02-26 22:18:15,[107953|0]
200,2026-02-26 22:18:15,[107960|0]
201,2026-02-26 22:18:15,[107999|0]
202,2026-02-26 22:18:15,[107965|0]
203,2026-02-26 22:18:15,[107821|0]
204,2026-02-26 22:18:15,[107736|0]
205,2026-02-26 22:18:15,[107729|0]
206,2026-02-26 22:18:15,[107722|0]
207,2026-02-26 22:18:15,[107753|0]
208,2026-02-26 22:18:15,[107758|0]
209,2026-02-26 22:18:15,[107754|0]
210,2026-02-26 22:18:15,[107750|0]
211,2026-02-26 22:18:15,[107744|0]
212,2026-02-26 22:18:15,[107727|0]
213,2026-02-26 22:18:15,[107772|0]
214,2026-02-26 22:18:15,[107793|0]
215,2026-02-26 22:18:15,[107815|0]
216,2026-02-26 22:18:15,[107823|0]
217,2026-02-26 22:18:15,[107842|0]
218,2026-02-26 22:18:15,[107819|0]
219,2026-02-26 22:18:15,[107856|0]
220,2026-02-26 22:18:15,[107884|0]
221,2026-02-26 22:18:15,[107904|0]
222,2026-02-26 22:18:15,[107930|0]
223,2026-02-26 22:18:16,[107930|0]
224,2026-02-26 22:18:16,[107824|0]
225,2026-02-26 22:18:16,[107721|0]
226,2026-02-26 22:18:16,[107709|0]
227,2026-02-26 22:18:16,[107738|0]
228,2026-02-26 22:18:16,[107767|0]
229,2026-02-26 22:18:16,[107769|0]
230,2026-02-26 22:18:16,[107771|0]
231,2026-02-26 22:18:16,[107779|0]
232,2026-02-26 22:18:16,[107744|0]
233,2026-02-26 22:18:16,[107726|0]
234,2026-02-26 22:18:16,[107742|0]
235,2026-02-26 22:18:16,[107762|0]
236,2026-02-26 22:18:16,[107775|0]
237,2026-02-26 22:18:16,[107800|0]
238,2026-02-26 22:18:16,[107820|0]
239,2026-02-26 22:18:16,[107831|0]
240,2026-02-26 22:18:16,[107844|0]
241,2026-02-26 22:18:16,[107845|0]
242,2026-02-26 22:18:16,[107849|0]
243,2026-02-26 22:18:16,[107894|0]
244,2026-02-26 22:18:16,[107937|0]
245,2026-02-26 22:18:16,[107919|0]
246,2026-02-26 22:18:16,[107779|0]
247,2026-02-26 22:18:16,[107661|0]
248,2026-02-26 22:18:17,[107645|0]
249,2026-02-26 22:18:17,[107703|0]
