Packet_Number,Timestamp,Battery_V,Battery_Pct,Temp,Leads
1,2026-02-26 22:18:07,4.05,99.4,31.81,0
2,2026-02-26 22:18:07,4.05,99.4,31.81,0
3,2026-02-26 22:18:07,4.05,99.4,31.81,0
4,2026-02-26 22:18:07,4.05,99.4,31.81,0
5,2026-02-26 22:18:07,4.05,99.4,31.75,0
6,2026-02-26 22:18:07,4.05,99.4,31.75,0
7,2026-02-26 22:18:07,4.11,99.4,31.75,0
8,2026-02-26 22:18:07,4.11,99.4,31.75,0
9,2026-02-26 22:18:07,4.11,99.4,31.75,0
10,2026-02-26 22:18:07,4.11,99.4,31.75,0
11,2026-02-26 22:18:07,4.11,99.4,31.62,0
12,2026-02-26 22:18:07,4.11,99.4,31.62,0
13,2026-02-26 22:18:07,4.14,99.4,31.62,0
14,2026-02-26 22:18:07,4.14,99.4,31.62,0
15,2026-02-26 22:18:07,4.14,99.4,31.62,0
16,2026-02-26 22:18:07,4.14,99.4,31.62,0
17,2026-02-26 22:18:07,4.14,99.4,31.62,0
18,2026-02-26 22:18:07,4.14,99.4,31.62,0
19,2026-02-26 22:18:07,4.10,99.4,31.62,0
20,2026-02-26 22:18:07,4.10,99.4,31.62,0
21,2026-02-26 22:18:07,4.10,99.4,31.62,0
22,2026-02-26 22:18:07,4.10,99.4,31.62,0
23,2026-02-26 22:18:08,4.10,99.4,31.81,0
24,2026-02-26 22:18:08,4.10,99.4,31.81,0
25,2026-02-26 22:18:08,4.13,99.4,31.81,0
26,2026-02-26 22:18:08,4.13,99.4,31.81,0
27,2026-02-26 22:18:08,4.13,99.4,31.81,0
28,2026-02-26 22:18:08,4.13,99.4,31.81,0
29,2026-02-26 22:18:08,4.13,99.4,31.88,0
30,2026-02-26 22:18:08,4.13,99.4,31.88,0
31,2026-02-26 22:18:08,4.13,99.4,31.88,0
32,2026-02-26 22:18:08,4.09,99.4,31.88,0
33,2026-02-26 22:18:08,4.09,99.4,31.88,0
34,2026-02-26 22:18:08,4.09,99.4,31.88,0
35,2026-02-26 22:18:08,4.09,99.4,31.62,0
