Packet_Number,Timestamp,Data
1,2026-02-02 14:20:44,[87.17948717948718|43.223443223443226|208.7912087912088|38.827838827838825|-49.08424908424909]
2,2026-02-02 14:20:44,[-39.56043956043956|-62.27106227106227|-82.78388278388279|-173.62637362637363|-41.75824175824176]
3,2026-02-02 14:20:44,[-5.128205128205129|-155.3113553113553|-66.66666666666667|-48.35164835164835|-115.01831501831502]
4,2026-02-02 14:20:44,[-146.5201465201465|-190.47619047619048|-134.06593406593407|-71.06227106227107|-25.641025641025642]
5,2026-02-02 14:20:44,[-308.42490842490844|-205.86080586080587|-43.223443223443226|221.97802197802199|734.7985347985348]
6,2026-02-02 14:20:44,[731.8681318681319|124.54212454212454|-258.6080586080586|-403.6630036630037|-227.83882783882783]
7,2026-02-02 14:20:44,[-173.62637362637363|-5.86080586080586|-109.15750915750915|-226.37362637362637|-158.97435897435898]
8,2026-02-02 14:20:44,[-173.62637362637363|-173.62637362637363|-48.35164835164835|-132.6007326007326|-120.87912087912088]
9,2026-02-02 14:20:45,[-174.35897435897436|-241.75824175824175|-87.91208791208791|-54.94505494505494|-183.88278388278388]
10,2026-02-02 14:20:45,[-88.64468864468864|-72.52747252747253|23.44322344322344|-88.64468864468864|81.31868131868131]
11,2026-02-02 14:20:45,[78.3882783882784|-108.42490842490842|166.3003663003663|233.6996336996337|146.5201465201465]
12,2026-02-02 14:20:45,[112.82051282051282|101.0989010989011|98.9010989010989|-148.71794871794873|5.128205128205129]
13,2026-02-02 14:20:45,[-86.44688644688645|-267.3992673992674|-147.98534798534797|-189.74358974358975|-314.2857142857143]
14,2026-02-02 14:20:45,[-254.21245421245422|-273.992673992674|-235.89743589743588|-302.56410256410254|-277.65567765567766]
15,2026-02-02 14:20:45,[-263.003663003663|-284.98168498168496|-389.010989010989|-490.84249084249086|-153.1135531135531]
16,2026-02-02 14:20:45,[-265.9340659340659|-501.0989010989011|-261.53846153846155|-39.56043956043956|-294.5054945054945]
17,2026-02-02 14:20:45,[-287.1794871794872|-147.98534798534797|-194.13919413919413|-210.25641025641025|-188.2783882783883]
18,2026-02-02 14:20:45,[-169.96336996336996|-273.992673992674|-239.56043956043956|-317.94871794871796|-412.45421245421244]
19,2026-02-02 14:20:45,[-171.42857142857142|-236.63003663003664|-169.23076923076923|-345.7875457875458|-174.35897435897436]
20,2026-02-02 14:20:45,[-320.8791208791209|-264.46886446886447|-321.61172161172163|-405.12820512820514|-358.24175824175825]
21,2026-02-02 14:20:45,[-228.57142857142858|-235.16483516483515|-249.8168498168498|-314.2857142857143|-251.28205128205127]
22,2026-02-02 14:20:45,[-339.9267399267399|-213.1868131868132|-176.55677655677655|-311.35531135531136|-235.16483516483515]
