Packet_Number,Timestamp,Data
1,2026-02-02 14:20:44,[111647|0]
2,2026-02-02 14:20:44,[111651|0]
3,2026-02-02 14:20:44,[111666|0]
4,2026-02-02 14:20:44,[111695|0]
5,2026-02-02 14:20:44,[111662|0]
6,2026-02-02 14:20:44,[111701|0]
7,2026-02-02 14:20:44,[111726|0]
8,2026-02-02 14:20:44,[111763|0]
9,2026-02-02 14:20:45,[111759|0]
10,2026-02-02 14:20:45,[111742|0]
11,2026-02-02 14:20:45,[111716|0]
12,2026-02-02 14:20:45,[111673|0]
13,2026-02-02 14:20:45,[111579|0]
14,2026-02-02 14:20:45,[111455|0]
15,2026-02-02 14:20:45,[111459|0]
16,2026-02-02 14:20:45,[111484|0]
17,2026-02-02 14:20:45,[111513|0]
18,2026-02-02 14:20:45,[111552|0]
19,2026-02-02 14:20:45,[111572|0]
20,2026-02-02 14:20:45,[111579|0]
21,2026-02-02 14:20:45,[111596|0]
22,2026-02-02 14:20:45,[111664|0]
23,2026-02-02 14:20:45,[111704|0]
24,2026-02-02 14:20:45,[111794|0]
25,2026-02-02 14:20:45,[111850|0]
26,2026-02-02 14:20:45,[111845|0]
27,2026-02-02 14:20:45,[111862|0]
28,2026-02-02 14:20:45,[111864|0]
29,2026-02-02 14:20:45,[111826|0]
30,2026-02-02 14:20:45,[111903|0]
31,2026-02-02 14:20:45,[112009|0]
32,2026-02-02 14:20:45,[111945|0]
33,2026-02-02 14:20:45,[111839|0]
34,2026-02-02 14:20:46,[111588|0]
35,2026-02-02 14:20:46,[111572|0]
36,2026-02-02 14:20:46,[111731|0]
37,2026-02-02 14:20:46,[111854|0]
38,2026-02-02 14:20:46,[111968|0]
39,2026-02-02 14:20:46,[111966|0]
40,2026-02-02 14:20:46,[111999|0]
41,2026-02-02 14:20:46,[111952|0]
42,2026-02-02 14:20:46,[111870|0]
43,2026-02-02 14:20:46,[111841|0]
44,2026-02-02 14:20:46,[111767|0]
45,2026-02-02 14:20:46,[111745|0]
46,2026-02-02 14:20:46,[111716|0]
47,2026-02-02 14:20:46,[111818|0]
48,2026-02-02 14:20:46,[111932|0]
49,2026-02-02 14:20:46,[112088|0]
50,2026-02-02 14:20:46,[112094|0]
51,2026-02-02 14:20:46,[112048|0]
52,2026-02-02 14:20:46,[111898|0]
53,2026-02-02 14:20:46,[111785|0]
54,2026-02-02 14:20:46,[111752|0]
55,2026-02-02 14:20:46,[111715|0]
56,2026-02-02 14:20:46,[111711|0]
57,2026-02-02 14:20:46,[111670|0]
58,2026-02-02 14:20:46,[111632|0]
59,2026-02-02 14:20:46,[111640|0]
60,2026-02-02 14:20:47,[111687|0]
61,2026-02-02 14:20:47,[111680|0]
62,2026-02-02 14:20:47,[111680|0]
63,2026-02-02 14:20:47,[111678|0]
64,2026-02-02 14:20:47,[111645|0]
65,2026-02-02 14:20:47,[111612|0]
66,2026-02-02 14:20:47,[111646|0]
67,2026-02-02 14:20:47,[111653|0]
68,2026-02-02 14:20:47,[111634|0]
69,2026-02-02 14:20:47,[111651|0]
70,2026-02-02 14:20:47,[111623|0]
71,2026-02-02 14:20:47,[111272|0]
72,2026-02-02 14:20:47,[110827|0]
73,2026-02-02 14:20:47,[110732|0]
74,2026-02-02 14:20:47,[110909|0]
75,2026-02-02 14:20:47,[111120|0]
76,2026-02-02 14:20:47,[111246|0]
77,2026-02-02 14:20:47,[111262|0]
78,2026-02-02 14:20:47,[111252|0]
79,2026-02-02 14:20:47,[111217|0]
80,2026-02-02 14:20:47,[111285|0]
81,2026-02-02 14:20:47,[111357|0]
82,2026-02-02 14:20:47,[111431|0]
83,2026-02-02 14:20:47,[111452|0]
84,2026-02-02 14:20:48,[111521|0]
85,2026-02-02 14:20:48,[111552|0]
86,2026-02-02 14:20:48,[111591|0]
87,2026-02-02 14:20:48,[111591|0]
88,2026-02-02 14:20:48,[111607|0]
89,2026-02-02 14:20:48,[111515|0]
90,2026-02-02 14:20:48,[111070|0]
91,2026-02-02 14:20:48,[110695|0]
92,2026-02-02 14:20:48,[110717|0]
93,2026-02-02 14:20:48,[110859|0]
94,2026-02-02 14:20:48,[111116|0]
95,2026-02-02 14:20:48,[111249|0]
96,2026-02-02 14:20:48,[111314|0]
97,2026-02-02 14:20:48,[111254|0]
98,2026-02-02 14:20:48,[111195|0]
99,2026-02-02 14:20:48,[111241|0]
100,2026-02-02 14:20:48,[111274|0]
101,2026-02-02 14:20:48,[111332|0]
102,2026-02-02 14:20:48,[111432|0]
103,2026-02-02 14:20:48,[111443|0]
104,2026-02-02 14:20:48,[111477|0]
105,2026-02-02 14:20:48,[111485|0]
106,2026-02-02 14:20:48,[111506|0]
107,2026-02-02 14:20:48,[111469|0]
108,2026-02-02 14:20:48,[111086|0]
109,2026-02-02 14:20:49,[110726|0]
110,2026-02-02 14:20:49,[110791|0]
111,2026-02-02 14:20:49,[110967|0]
112,2026-02-02 14:20:49,[111162|0]
113,2026-02-02 14:20:49,[111282|0]
114,2026-02-02 14:20:49,[111358|0]
115,2026-02-02 14:20:49,[111304|0]
116,2026-02-02 14:20:49,[111253|0]
117,2026-02-02 14:20:49,[111309|0]
118,2026-02-02 14:20:49,[111358|0]
119,2026-02-02 14:20:49,[111379|0]
120,2026-02-02 14:20:49,[111465|0]
121,2026-02-02 14:20:49,[111499|0]
122,2026-02-02 14:20:49,[111553|0]
123,2026-02-02 14:20:49,[111545|0]
124,2026-02-02 14:20:49,[111515|0]
125,2026-02-02 14:20:49,[111464|0]
126,2026-02-02 14:20:49,[111352|0]
127,2026-02-02 14:20:49,[110768|0]
128,2026-02-02 14:20:49,[110495|0]
129,2026-02-02 14:20:49,[110595|0]
130,2026-02-02 14:20:49,[110791|0]
131,2026-02-02 14:20:49,[110931|0]
132,2026-02-02 14:20:49,[111092|0]
133,2026-02-02 14:20:50,[111061|0]
134,2026-02-02 14:20:50,[110942|0]
135,2026-02-02 14:20:50,[110913|0]
136,2026-02-02 14:20:50,[110906|0]
137,2026-02-02 14:20:50,[111000|0]
138,2026-02-02 14:20:50,[111118|0]
139,2026-02-02 14:20:50,[111135|0]
140,2026-02-02 14:20:50,[111177|0]
141,2026-02-02 14:20:50,[111221|0]
142,2026-02-02 14:20:50,[111203|0]
143,2026-02-02 14:20:50,[111235|0]
144,2026-02-02 14:20:50,[111221|0]
145,2026-02-02 14:20:50,[110800|0]
146,2026-02-02 14:20:50,[110513|0]
147,2026-02-02 14:20:50,[110487|0]
148,2026-02-02 14:20:50,[110592|0]
149,2026-02-02 14:20:50,[110782|0]
150,2026-02-02 14:20:50,[110987|0]
151,2026-02-02 14:20:50,[110994|0]
152,2026-02-02 14:20:50,[110871|0]
153,2026-02-02 14:20:50,[110783|0]
154,2026-02-02 14:20:50,[110787|0]
155,2026-02-02 14:20:50,[110919|0]
156,2026-02-02 14:20:50,[111004|0]
157,2026-02-02 14:20:50,[111058|0]
158,2026-02-02 14:20:50,[111157|0]
159,2026-02-02 14:20:51,[111158|0]
160,2026-02-02 14:20:51,[111134|0]
161,2026-02-02 14:20:51,[111172|0]
162,2026-02-02 14:20:51,[111215|0]
163,2026-02-02 14:20:51,[111131|0]
164,2026-02-02 14:20:51,[110634|0]
165,2026-02-02 14:20:51,[110198|0]
166,2026-02-02 14:20:51,[109952|0]
167,2026-02-02 14:20:51,[110103|0]
168,2026-02-02 14:20:51,[110278|0]
169,2026-02-02 14:20:51,[110309|0]
170,2026-02-02 14:20:51,[110289|0]
171,2026-02-02 14:20:51,[110297|0]
172,2026-02-02 14:20:51,[110208|0]
173,2026-02-02 14:20:51,[110211|0]
174,2026-02-02 14:20:51,[110352|0]
175,2026-02-02 14:20:51,[110352|0]
176,2026-02-02 14:20:51,[110410|0]
177,2026-02-02 14:20:51,[110456|0]
178,2026-02-02 14:20:51,[110543|0]
179,2026-02-02 14:20:51,[110571|0]
