Packet_Number,Timestamp,Data
1,2026-02-02 14:20:44,[104799|0]
2,2026-02-02 14:20:44,[104803|0]
3,2026-02-02 14:20:44,[104809|0]
4,2026-02-02 14:20:44,[104827|0]
5,2026-02-02 14:20:44,[104802|0]
6,2026-02-02 14:20:44,[104823|0]
7,2026-02-02 14:20:44,[104838|0]
8,2026-02-02 14:20:44,[104846|0]
9,2026-02-02 14:20:45,[104846|0]
10,2026-02-02 14:20:45,[104828|0]
11,2026-02-02 14:20:45,[104800|0]
12,2026-02-02 14:20:45,[104804|0]
13,2026-02-02 14:20:45,[104767|0]
14,2026-02-02 14:20:45,[104717|0]
15,2026-02-02 14:20:45,[104724|0]
16,2026-02-02 14:20:45,[104725|0]
17,2026-02-02 14:20:45,[104713|0]
18,2026-02-02 14:20:45,[104732|0]
19,2026-02-02 14:20:45,[104734|0]
20,2026-02-02 14:20:45,[104748|0]
21,2026-02-02 14:20:45,[104794|0]
22,2026-02-02 14:20:45,[104864|0]
23,2026-02-02 14:20:45,[104872|0]
24,2026-02-02 14:20:45,[104953|0]
25,2026-02-02 14:20:45,[104978|0]
26,2026-02-02 14:20:45,[104956|0]
27,2026-02-02 14:20:45,[104962|0]
28,2026-02-02 14:20:45,[104949|0]
29,2026-02-02 14:20:45,[104886|0]
30,2026-02-02 14:20:45,[104937|0]
31,2026-02-02 14:20:45,[105015|0]
32,2026-02-02 14:20:45,[104974|0]
33,2026-02-02 14:20:45,[104937|0]
34,2026-02-02 14:20:46,[104802|0]
35,2026-02-02 14:20:46,[104776|0]
36,2026-02-02 14:20:46,[104862|0]
37,2026-02-02 14:20:46,[104880|0]
38,2026-02-02 14:20:46,[104859|0]
39,2026-02-02 14:20:46,[104828|0]
40,2026-02-02 14:20:46,[104839|0]
41,2026-02-02 14:20:46,[104796|0]
42,2026-02-02 14:20:46,[104751|0]
43,2026-02-02 14:20:46,[104715|0]
44,2026-02-02 14:20:46,[104649|0]
45,2026-02-02 14:20:46,[104637|0]
46,2026-02-02 14:20:46,[104621|0]
47,2026-02-02 14:20:46,[104667|0]
48,2026-02-02 14:20:46,[104709|0]
49,2026-02-02 14:20:46,[104781|0]
50,2026-02-02 14:20:46,[104750|0]
51,2026-02-02 14:20:46,[104736|0]
52,2026-02-02 14:20:46,[104648|0]
53,2026-02-02 14:20:46,[104615|0]
54,2026-02-02 14:20:46,[104593|0]
55,2026-02-02 14:20:46,[104589|0]
56,2026-02-02 14:20:46,[104618|0]
57,2026-02-02 14:20:46,[104592|0]
58,2026-02-02 14:20:46,[104570|0]
59,2026-02-02 14:20:46,[104594|0]
60,2026-02-02 14:20:47,[104640|0]
61,2026-02-02 14:20:47,[104632|0]
62,2026-02-02 14:20:47,[104632|0]
63,2026-02-02 14:20:47,[104620|0]
64,2026-02-02 14:20:47,[104625|0]
65,2026-02-02 14:20:47,[104601|0]
66,2026-02-02 14:20:47,[104618|0]
67,2026-02-02 14:20:47,[104638|0]
68,2026-02-02 14:20:47,[104656|0]
69,2026-02-02 14:20:47,[104673|0]
70,2026-02-02 14:20:47,[104652|0]
71,2026-02-02 14:20:47,[104539|0]
72,2026-02-02 14:20:47,[104404|0]
73,2026-02-02 14:20:47,[104376|0]
74,2026-02-02 14:20:47,[104453|0]
75,2026-02-02 14:20:47,[104534|0]
76,2026-02-02 14:20:47,[104568|0]
77,2026-02-02 14:20:47,[104577|0]
78,2026-02-02 14:20:47,[104584|0]
79,2026-02-02 14:20:47,[104582|0]
80,2026-02-02 14:20:47,[104610|0]
81,2026-02-02 14:20:47,[104640|0]
82,2026-02-02 14:20:47,[104666|0]
83,2026-02-02 14:20:47,[104659|0]
84,2026-02-02 14:20:48,[104700|0]
85,2026-02-02 14:20:48,[104714|0]
86,2026-02-02 14:20:48,[104727|0]
87,2026-02-02 14:20:48,[104731|0]
88,2026-02-02 14:20:48,[104734|0]
89,2026-02-02 14:20:48,[104694|0]
90,2026-02-02 14:20:48,[104561|0]
91,2026-02-02 14:20:48,[104439|0]
92,2026-02-02 14:20:48,[104439|0]
93,2026-02-02 14:20:48,[104504|0]
94,2026-02-02 14:20:48,[104597|0]
95,2026-02-02 14:20:48,[104644|0]
96,2026-02-02 14:20:48,[104686|0]
97,2026-02-02 14:20:48,[104680|0]
98,2026-02-02 14:20:48,[104645|0]
99,2026-02-02 14:20:48,[104675|0]
100,2026-02-02 14:20:48,[104689|0]
101,2026-02-02 14:20:48,[104685|0]
102,2026-02-02 14:20:48,[104733|0]
103,2026-02-02 14:20:48,[104735|0]
104,2026-02-02 14:20:48,[104758|0]
105,2026-02-02 14:20:48,[104750|0]
106,2026-02-02 14:20:48,[104746|0]
107,2026-02-02 14:20:48,[104718|0]
108,2026-02-02 14:20:48,[104598|0]
109,2026-02-02 14:20:49,[104477|0]
110,2026-02-02 14:20:49,[104506|0]
111,2026-02-02 14:20:49,[104566|0]
112,2026-02-02 14:20:49,[104639|0]
113,2026-02-02 14:20:49,[104664|0]
114,2026-02-02 14:20:49,[104697|0]
115,2026-02-02 14:20:49,[104689|0]
116,2026-02-02 14:20:49,[104666|0]
117,2026-02-02 14:20:49,[104689|0]
118,2026-02-02 14:20:49,[104715|0]
119,2026-02-02 14:20:49,[104705|0]
120,2026-02-02 14:20:49,[104756|0]
121,2026-02-02 14:20:49,[104764|0]
122,2026-02-02 14:20:49,[104789|0]
123,2026-02-02 14:20:49,[104774|0]
124,2026-02-02 14:20:49,[104759|0]
125,2026-02-02 14:20:49,[104715|0]
126,2026-02-02 14:20:49,[104703|0]
127,2026-02-02 14:20:49,[104496|0]
128,2026-02-02 14:20:49,[104399|0]
129,2026-02-02 14:20:49,[104447|0]
130,2026-02-02 14:20:49,[104530|0]
131,2026-02-02 14:20:49,[104562|0]
132,2026-02-02 14:20:49,[104635|0]
133,2026-02-02 14:20:50,[104616|0]
134,2026-02-02 14:20:50,[104571|0]
135,2026-02-02 14:20:50,[104565|0]
136,2026-02-02 14:20:50,[104554|0]
137,2026-02-02 14:20:50,[104576|0]
138,2026-02-02 14:20:50,[104629|0]
139,2026-02-02 14:20:50,[104641|0]
140,2026-02-02 14:20:50,[104659|0]
141,2026-02-02 14:20:50,[104679|0]
142,2026-02-02 14:20:50,[104658|0]
143,2026-02-02 14:20:50,[104675|0]
144,2026-02-02 14:20:50,[104680|0]
145,2026-02-02 14:20:50,[104529|0]
146,2026-02-02 14:20:50,[104421|0]
147,2026-02-02 14:20:50,[104407|0]
148,2026-02-02 14:20:50,[104448|0]
149,2026-02-02 14:20:50,[104527|0]
150,2026-02-02 14:20:50,[104595|0]
151,2026-02-02 14:20:50,[104589|0]
152,2026-02-02 14:20:50,[104541|0]
153,2026-02-02 14:20:50,[104509|0]
154,2026-02-02 14:20:50,[104520|0]
155,2026-02-02 14:20:50,[104569|0]
156,2026-02-02 14:20:50,[104601|0]
157,2026-02-02 14:20:50,[104610|0]
158,2026-02-02 14:20:50,[104660|0]
159,2026-02-02 14:20:51,[104650|0]
160,2026-02-02 14:20:51,[104643|0]
161,2026-02-02 14:20:51,[104656|0]
162,2026-02-02 14:20:51,[104671|0]
163,2026-02-02 14:20:51,[104641|0]
164,2026-02-02 14:20:51,[104467|0]
165,2026-02-02 14:20:51,[104293|0]
166,2026-02-02 14:20:51,[104211|0]
167,2026-02-02 14:20:51,[104278|0]
168,2026-02-02 14:20:51,[104351|0]
169,2026-02-02 14:20:51,[104358|0]
170,2026-02-02 14:20:51,[104339|0]
171,2026-02-02 14:20:51,[104342|0]
172,2026-02-02 14:20:51,[104309|0]
173,2026-02-02 14:20:51,[104318|0]
174,2026-02-02 14:20:51,[104377|0]
175,2026-02-02 14:20:51,[104377|0]
176,2026-02-02 14:20:51,[104403|0]
177,2026-02-02 14:20:51,[104414|0]
178,2026-02-02 14:20:51,[104441|0]
179,2026-02-02 14:20:51,[104440|0]
180,2026-02-02 14:20:51,[104450|0]
181,2026-02-02 14:20:51,[104439|0]
182,2026-02-02 14:20:51,[104473|0]
183,2026-02-02 14:20:51,[104497|0]
184,2026-02-02 14:20:52,[104496|0]
185,2026-02-02 14:20:52,[104315|0]
186,2026-02-02 14:20:52,[104122|0]
