Packet_Number,Timestamp,Data
1,2026-02-27 00:09:47,-284.98168498168496|-294.5054945054945|-277.65567765567766|-293.7728937728938|-276.1904761904762
2,2026-02-27 00:09:47,-276.1904761904762|-263.7362637362637|-254.21245421245422|-263.003663003663|-243.95604395604394
3,2026-02-27 00:09:47,-249.8168498168498|-258.6080586080586|-249.8168498168498|-262.27106227106225|-254.94505494505495
4,2026-02-27 00:09:47,-260.0732600732601|-264.46886446886447|-263.003663003663|-286.4468864468864|-270.3296703296703
5,2026-02-27 00:09:47,-267.3992673992674|-273.992673992674|-266.6666666666667|-290.1098901098901|-282.05128205128204
6,2026-02-27 00:09:47,-273.992673992674|-268.86446886446885|-265.9340659340659|-276.1904761904762|-261.53846153846155
7,2026-02-27 00:09:47,-258.6080586080586|-253.4798534798535|-238.0952380952381|-242.49084249084248|-236.63003663003664
8,2026-02-27 00:09:47,-241.02564102564102|-238.0952380952381|-219.78021978021977|-227.1062271062271|-217.58241758241758
9,2026-02-27 00:09:47,-204.3956043956044|-192.67399267399267|-182.41758241758242|-192.67399267399267|-180.95238095238096
10,2026-02-27 00:09:47,-183.88278388278388|-193.4065934065934|-173.62637362637363|-189.01098901098902|-170.6959706959707
11,2026-02-27 00:09:47,-166.3003663003663|-165.56776556776558|-158.97435897435898|-150.1831501831502|-160.43956043956044
12,2026-02-27 00:09:47,-157.50915750915752|-183.88278388278388|-161.17216117216117|-160.43956043956044|-136.996336996337
13,2026-02-27 00:09:47,-119.41391941391942|-124.54212454212454|-126.00732600732601|-95.23809523809524|-52.014652014652015
14,2026-02-27 00:09:47,-55.67765567765568|-84.98168498168498|-109.15750915750915|-153.84615384615384|-154.57875457875457
15,2026-02-27 00:09:47,-141.3919413919414|-132.6007326007326|-125.27472527472527|-132.6007326007326|-129.67032967032966
16,2026-02-27 00:09:47,-123.07692307692308|16.84981684981685|408.05860805860806|1499.6336996336997|1499.6336996336997
17,2026-02-27 00:09:47,698.1684981684982|-522.3443223443223|-765.5677655677656|-487.1794871794872|-249.08424908424908
18,2026-02-27 00:09:47,-147.25274725274724|-129.67032967032966|-109.15750915750915|-103.2967032967033|-73.99267399267399
19,2026-02-27 00:09:47,-73.26007326007326|-65.2014652014652|-40.29304029304029|-33.6996336996337|-9.523809523809524
20,2026-02-27 00:09:47,-5.128205128205129|17.582417582417584|38.827838827838825|66.66666666666667|93.04029304029304
21,2026-02-27 00:09:47,109.15750915750915|156.04395604395606|204.3956043956044|251.28205128205127|310.6227106227106
22,2026-02-27 00:09:47,347.98534798534797|412.45421245421244|478.38827838827837|496.7032967032967|512.0879120879121
23,2026-02-27 00:09:47,503.2967032967033|488.64468864468864|425.64102564102564|320.1465201465202|215.3846153846154
24,2026-02-27 00:09:48,78.3882783882784|-32.967032967032964|-129.67032967032966|-216.11721611721612|-259.34065934065933
25,2026-02-27 00:09:48,-286.4468864468864|-313.5531135531136|-320.8791208791209|-321.61172161172163|-308.42490842490844
26,2026-02-27 00:09:48,-309.8901098901099|-299.6336996336996|-284.98168498168496|-285.7142857142857|-274.72527472527474
27,2026-02-27 00:09:48,-276.1904761904762|-265.9340659340659|-256.4102564102564|-262.27106227106225|-252.01465201465203
28,2026-02-27 00:09:48,-259.34065934065933|-258.6080586080586|-253.4798534798535|-268.86446886446885|-263.7362637362637
29,2026-02-27 00:09:48,-274.72527472527474|-290.84249084249086|-290.1098901098901|-295.23809523809524|-276.9230769230769
30,2026-02-27 00:09:48,-276.1904761904762|-267.3992673992674|-254.21245421245422|-248.35164835164835|-237.36263736263737
31,2026-02-27 00:09:48,-224.17582417582418|-215.3846153846154|-213.1868131868132|-227.83882783882783|-213.91941391941393
32,2026-02-27 00:09:48,-215.3846153846154|-214.65201465201466|-208.7912087912088|-220.51282051282053|-214.65201465201466
33,2026-02-27 00:09:48,-216.11721611721612|-210.25641025641025|-202.93040293040292|-215.3846153846154|-203.66300366300365
34,2026-02-27 00:09:48,-204.3956043956044|-205.86080586080587|-192.67399267399267|-191.2087912087912|-176.55677655677655
35,2026-02-27 00:09:48,-179.48717948717947|-172.16117216117217|-167.03296703296704|-178.75457875457874|-153.1135531135531
36,2026-02-27 00:09:48,-153.84615384615384|-147.25274725274724|-145.78754578754578|-146.5201465201465|-87.17948717948718
37,2026-02-27 00:09:48,-76.19047619047619|-73.99267399267399|-94.50549450549451|-134.06593406593407|-153.1135531135531
38,2026-02-27 00:09:48,-167.76556776556777|-166.3003663003663|-154.57875457875457|-158.97435897435898|-144.32234432234432
39,2026-02-27 00:09:48,-148.71794871794873|-134.06593406593407|52.014652014652015|626.3736263736264|1499.6336996336997
40,2026-02-27 00:09:48,1499.6336996336997|401.46520146520146|-693.7728937728938|-690.1098901098901|-356.7765567765568
41,2026-02-27 00:09:48,-169.23076923076923|-132.6007326007326|-120.87912087912088|-123.07692307692308|-96.7032967032967
42,2026-02-27 00:09:48,-79.85347985347985|-71.7948717948718|-55.67765567765568|-49.08424908424909|-27.106227106227106
43,2026-02-27 00:09:48,-19.78021978021978|-1.465201465201465|28.571428571428573|40.29304029304029|68.86446886446886
44,2026-02-27 00:09:48,97.43589743589743|135.53113553113553|179.48717948717947|210.25641025641025|273.2600732600733
