Packet_Number,Timestamp,Data
1,2026-02-27 00:09:47,106687
2,2026-02-27 00:09:47,106681
3,2026-02-27 00:09:47,106680
4,2026-02-27 00:09:47,106703
5,2026-02-27 00:09:47,106713
6,2026-02-27 00:09:47,106710
7,2026-02-27 00:09:47,106713
8,2026-02-27 00:09:47,106720
9,2026-02-27 00:09:47,106716
10,2026-02-27 00:09:47,106772
11,2026-02-27 00:09:47,106821
12,2026-02-27 00:09:47,106877
13,2026-02-27 00:09:47,106890
14,2026-02-27 00:09:47,106930
15,2026-02-27 00:09:47,106946
16,2026-02-27 00:09:47,106995
17,2026-02-27 00:09:47,107035
18,2026-02-27 00:09:47,107072
19,2026-02-27 00:09:47,107099
20,2026-02-27 00:09:47,107150
21,2026-02-27 00:09:47,107151
22,2026-02-27 00:09:47,107184
23,2026-02-27 00:09:47,107126
24,2026-02-27 00:09:48,106954
25,2026-02-27 00:09:48,106860
26,2026-02-27 00:09:48,106836
27,2026-02-27 00:09:48,106851
28,2026-02-27 00:09:48,106885
29,2026-02-27 00:09:48,106926
30,2026-02-27 00:09:48,106924
31,2026-02-27 00:09:48,106908
32,2026-02-27 00:09:48,106915
33,2026-02-27 00:09:48,106926
34,2026-02-27 00:09:48,106978
35,2026-02-27 00:09:48,107023
36,2026-02-27 00:09:48,107051
37,2026-02-27 00:09:48,107057
38,2026-02-27 00:09:48,107046
39,2026-02-27 00:09:48,107062
40,2026-02-27 00:09:48,107135
41,2026-02-27 00:09:48,107174
42,2026-02-27 00:09:48,107256
43,2026-02-27 00:09:48,107312
44,2026-02-27 00:09:48,107332
45,2026-02-27 00:09:48,107371
46,2026-02-27 00:09:48,107305
47,2026-02-27 00:09:48,107111
48,2026-02-27 00:09:48,107022
49,2026-02-27 00:09:49,107008
50,2026-02-27 00:09:49,107010
51,2026-02-27 00:09:49,107028
52,2026-02-27 00:09:49,107058
53,2026-02-27 00:09:49,107064
54,2026-02-27 00:09:49,107060
55,2026-02-27 00:09:49,107075
56,2026-02-27 00:09:49,107062
57,2026-02-27 00:09:49,107101
58,2026-02-27 00:09:49,107137
59,2026-02-27 00:09:49,107177
60,2026-02-27 00:09:49,107208
61,2026-02-27 00:09:49,107250
62,2026-02-27 00:09:49,107267
63,2026-02-27 00:09:49,107317
64,2026-02-27 00:09:49,107359
65,2026-02-27 00:09:49,107380
66,2026-02-27 00:09:49,107389
67,2026-02-27 00:09:49,107427
68,2026-02-27 00:09:49,107393
69,2026-02-27 00:09:49,107393
70,2026-02-27 00:09:49,107236
71,2026-02-27 00:09:49,107096
72,2026-02-27 00:09:49,107039
73,2026-02-27 00:09:49,107106
74,2026-02-27 00:09:49,107151
75,2026-02-27 00:09:50,107166
76,2026-02-27 00:09:50,107199
77,2026-02-27 00:09:50,107177
78,2026-02-27 00:09:50,107128
79,2026-02-27 00:09:50,107101
80,2026-02-27 00:09:50,107101
81,2026-02-27 00:09:50,107104
82,2026-02-27 00:09:50,107167
83,2026-02-27 00:09:50,107196
84,2026-02-27 00:09:50,107265
85,2026-02-27 00:09:50,107318
86,2026-02-27 00:09:50,107378
87,2026-02-27 00:09:50,107414
88,2026-02-27 00:09:50,107496
89,2026-02-27 00:09:50,107541
90,2026-02-27 00:09:50,107594
91,2026-02-27 00:09:50,107648
92,2026-02-27 00:09:50,107588
93,2026-02-27 00:09:50,107315
94,2026-02-27 00:09:50,107194
95,2026-02-27 00:09:50,107177
96,2026-02-27 00:09:50,107210
97,2026-02-27 00:09:50,107225
