Packet_Number,Timestamp,Data
1,2026-02-27 00:09:47,105962
2,2026-02-27 00:09:47,105968
3,2026-02-27 00:09:47,105957
4,2026-02-27 00:09:47,105982
5,2026-02-27 00:09:47,105982
6,2026-02-27 00:09:47,105971
7,2026-02-27 00:09:47,105979
8,2026-02-27 00:09:47,105980
9,2026-02-27 00:09:47,105969
10,2026-02-27 00:09:47,106012
11,2026-02-27 00:09:47,106022
12,2026-02-27 00:09:47,106044
13,2026-02-27 00:09:47,106042
14,2026-02-27 00:09:47,106049
15,2026-02-27 00:09:47,106052
16,2026-02-27 00:09:47,106084
17,2026-02-27 00:09:47,106095
18,2026-02-27 00:09:47,106113
19,2026-02-27 00:09:47,106122
20,2026-02-27 00:09:47,106139
21,2026-02-27 00:09:47,106126
22,2026-02-27 00:09:47,106150
23,2026-02-27 00:09:47,106120
24,2026-02-27 00:09:48,106038
25,2026-02-27 00:09:48,106002
26,2026-02-27 00:09:48,105993
27,2026-02-27 00:09:48,105995
28,2026-02-27 00:09:48,106015
29,2026-02-27 00:09:48,106028
30,2026-02-27 00:09:48,106019
31,2026-02-27 00:09:48,106019
32,2026-02-27 00:09:48,106005
33,2026-02-27 00:09:48,106000
34,2026-02-27 00:09:48,106028
35,2026-02-27 00:09:48,106050
36,2026-02-27 00:09:48,106062
37,2026-02-27 00:09:48,106070
38,2026-02-27 00:09:48,106066
39,2026-02-27 00:09:48,106050
40,2026-02-27 00:09:48,106086
41,2026-02-27 00:09:48,106110
42,2026-02-27 00:09:48,106139
43,2026-02-27 00:09:48,106151
44,2026-02-27 00:09:48,106159
45,2026-02-27 00:09:48,106182
46,2026-02-27 00:09:48,106159
47,2026-02-27 00:09:48,106065
48,2026-02-27 00:09:48,106030
49,2026-02-27 00:09:49,106027
50,2026-02-27 00:09:49,106030
51,2026-02-27 00:09:49,106018
52,2026-02-27 00:09:49,106044
53,2026-02-27 00:09:49,106044
54,2026-02-27 00:09:49,106040
55,2026-02-27 00:09:49,106039
56,2026-02-27 00:09:49,106026
57,2026-02-27 00:09:49,106043
58,2026-02-27 00:09:49,106050
59,2026-02-27 00:09:49,106074
60,2026-02-27 00:09:49,106084
61,2026-02-27 00:09:49,106109
62,2026-02-27 00:09:49,106098
63,2026-02-27 00:09:49,106115
64,2026-02-27 00:09:49,106139
65,2026-02-27 00:09:49,106141
66,2026-02-27 00:09:49,106155
67,2026-02-27 00:09:49,106155
68,2026-02-27 00:09:49,106127
69,2026-02-27 00:09:49,106127
70,2026-02-27 00:09:49,106058
71,2026-02-27 00:09:49,106022
72,2026-02-27 00:09:49,105999
73,2026-02-27 00:09:49,106019
74,2026-02-27 00:09:49,106042
75,2026-02-27 00:09:50,106015
76,2026-02-27 00:09:50,106053
77,2026-02-27 00:09:50,106050
78,2026-02-27 00:09:50,106027
79,2026-02-27 00:09:50,106008
80,2026-02-27 00:09:50,106005
81,2026-02-27 00:09:50,106001
82,2026-02-27 00:09:50,106016
83,2026-02-27 00:09:50,106049
84,2026-02-27 00:09:50,106068
85,2026-02-27 00:09:50,106093
86,2026-02-27 00:09:50,106108
87,2026-02-27 00:09:50,106104
